i,cs_present,size,phylum
Augenerilepidonotus,FALSE,1,Annelida
Aurospio,FALSE,6,Annelida
Australaugeneria,FALSE,4,Annelida
Australonereis,FALSE,1,Annelida
Australonoe,FALSE,1,Annelida
Australonuphis,FALSE,7,Annelida
Australospio,FALSE,2,Annelida
Austrobdella,FALSE,7,Annelida
Austrolaenilla,FALSE,10,Annelida
Austrophyllum,FALSE,6,Annelida
Austropolaria,FALSE,1,Annelida
Autolytus,FALSE,23,Annelida
Axiokebuita,FALSE,2,Annelida
Axionice,FALSE,5,Annelida
Axiothella,FALSE,14,Annelida
Baffinia,FALSE,2,Annelida
Baldia,FALSE,1,Annelida
Baltidrilus,FALSE,1,Annelida
Bansella,FALSE,1,Annelida
Barrukia,FALSE,2,Annelida
Bathyadmetella,FALSE,1,Annelida
Bathyasychis,FALSE,1,Annelida
Bathybahamas,FALSE,1,Annelida
Bathybdella,FALSE,1,Annelida
Bathycanadia,FALSE,1,Annelida
Bathycatalina,FALSE,1,Annelida
Bathychloeia,FALSE,2,Annelida
Bathyditrupa,FALSE,1,Annelida
Bathydrilus,FALSE,33,Annelida
Bathyedithia,FALSE,3,Annelida
Bathyeliasona,FALSE,4,Annelida
Bathyfauvelia,FALSE,4,Annelida
Bathyglycinde,FALSE,7,Annelida
Bathyhololepidella,FALSE,1,Annelida
Bathykermadeca,FALSE,3,Annelida
Bathykurila,FALSE,2,Annelida
Bathylevensteina,FALSE,1,Annelida
Bathymacella,FALSE,1,Annelida
Bathymariana,FALSE,1,Annelida
Bathymiranda,FALSE,1,Annelida
Bathymoorea,FALSE,2,Annelida
Bathynoe,FALSE,6,Annelida
Bathynotalia,FALSE,1,Annelida
Bathynotopygos,FALSE,1,Annelida
Bathypolaria,FALSE,1,Annelida
Bathysabellaria,FALSE,2,Annelida
Bathytasmania,FALSE,1,Annelida
Bathyvermilia,FALSE,7,Annelida
Bathyvitiazia,FALSE,2,Annelida
Bayerpolynoe,FALSE,1,Annelida
Bdellamaris,FALSE,2,Annelida
Bengalus,FALSE,1,Annelida
Benhamipolynoe,FALSE,2,Annelida
Benhamisetosus,FALSE,1,Annelida
Benthoscolex,FALSE,4,Annelida
Bergstroemia,FALSE,2,Annelida
Beringobdella,FALSE,1,Annelida
Berkeleyia,FALSE,6,Annelida
Bermudrilus,FALSE,1,Annelida
Betapista,FALSE,1,Annelida
Bhawania,FALSE,11,Annelida
Biborin,FALSE,1,Annelida
Biporus,FALSE,1,Annelida
Biremis,FALSE,1,Annelida
Birsteinia,FALSE,1,Annelida
Bispira,FALSE,24,Annelida
Bobmarleya,FALSE,1,Annelida
Boccardia,FALSE,23,Annelida
Boccardiella,FALSE,6,Annelida
Boguea,FALSE,2,Annelida
Boguella,FALSE,1,Annelida
Bollandiella,FALSE,1,Annelida
Bonellia,FALSE,9,Annelida
Bonelliopsis,FALSE,2,Annelida
Bonuania,FALSE,1,Annelida
Bookhoutia,FALSE,1,Annelida
Boudemos,FALSE,2,Annelida
Brachysyllis,FALSE,3,Annelida
Bradabyssa,FALSE,5,Annelida
Branchamphinome,FALSE,3,Annelida
Branchellion,FALSE,9,Annelida
Branchinotogluma,FALSE,12,Annelida
Branchiocapitella,FALSE,1,Annelida
Branchiomaldane,FALSE,4,Annelida
Branchiomma,FALSE,31,Annelida
Branchiosyllis,FALSE,27,Annelida
Branchiplicatus,FALSE,1,Annelida
Branchipolynoe,FALSE,9,Annelida
Brandtika,FALSE,1,Annelida
Brania,FALSE,20,Annelida
Brevibrachium,FALSE,4,Annelida
Brevicirrosyllis,FALSE,5,Annelida
Briaraea,FALSE,1,Annelida
Brifacia,FALSE,2,Annelida
Brumptiana,FALSE,1,Annelida
Bruunellia,FALSE,1,Annelida
Bruunilla,FALSE,2,Annelida
Brychionoe,FALSE,1,Annelida
Bushiella,FALSE,13,Annelida
Buskiella,FALSE,1,Annelida
Bylgides,FALSE,9,Annelida
Cabira,FALSE,5,Annelida
Calamyzas,FALSE,1,Annelida
Califia,FALSE,5,Annelida
Calliobdella,FALSE,4,Annelida
Campesyllis,FALSE,1,Annelida
Caobangia,FALSE,6,Annelida
Capilloventer,FALSE,2,Annelida
Capitellethus,FALSE,4,Annelida
Capitobranchus,FALSE,1,Annelida
Capitulatinoe,FALSE,1,Annelida
Carazziella,FALSE,12,Annelida
Carobia,FALSE,2,Annelida
Caspiobdella,FALSE,1,Annelida
Caulleriella,FALSE,43,Annelida
Caulleryaspis,FALSE,4,Annelida
Cenogenus,FALSE,12,Annelida
Ceratobdella,FALSE,1,Annelida
Ceratocephale,FALSE,11,Annelida
Ceratonereis,FALSE,55,Annelida
Cernosvitoviella,FALSE,2,Annelida
Cervilia,FALSE,1,Annelida
Chaetacanthus,FALSE,4,Annelida
Chaetocirratulus,FALSE,6,Annelida
Chaetoparia,FALSE,2,Annelida
Chaetopterus,FALSE,17,Annelida
Chaetosphaera,FALSE,1,Annelida
Chaetozone,FALSE,69,Annelida
Charcotus,FALSE,2,Annelida
Chauvinelia,FALSE,2,Annelida
Cheilonereis,FALSE,2,Annelida
Cherusca,FALSE,1,Annelida
Chirimia,FALSE,4,Annelida
Chitinopoma,FALSE,3,Annelida
Chitinopomoides,FALSE,1,Annelida
Chloeia,FALSE,27,Annelida
Chloenopsis,FALSE,1,Annelida
Choanophorus,FALSE,1,Annelida
Choanostomellia,FALSE,3,Annelida
Chone,FALSE,21,Annelida
Christerius,FALSE,1,Annelida
Chrysopetalum,FALSE,12,Annelida
Cicese,FALSE,1,Annelida
Circeis,FALSE,6,Annelida
Cirrhatula,FALSE,1,Annelida
Cirrhatulus,FALSE,1,Annelida
Cirrhineris,FALSE,2,Annelida
Cirriformia,FALSE,23,Annelida
Cirrineris,FALSE,2,Annelida
Cirronereis,FALSE,1,Annelida
Cirrophorus,FALSE,9,Annelida
Cistenides,FALSE,7,Annelida
Claparedepelogenia,FALSE,1,Annelida
Claparedia,FALSE,1,Annelida
Claparedrilus,FALSE,2,Annelida
Claudrilus,FALSE,9,Annelida
Clavadoce,FALSE,5,Annelida
Claviramus,FALSE,4,Annelida
Clavisyllis,FALSE,2,Annelida
Clavodorum,FALSE,10,Annelida
Clitellio,FALSE,4,Annelida
Cloudina,FALSE,1,Annelida
Clymene,FALSE,8,Annelida
Clymeneis,FALSE,1,Annelida
Clymenella,FALSE,18,Annelida
Clymenopsis,FALSE,4,Annelida
Clymenura,FALSE,8,Annelida
Cognettia,FALSE,2,Annelida
Colobranchus,FALSE,1,Annelida
Colymmatops,FALSE,1,Annelida
Commensodorum,FALSE,1,Annelida
Composetia,FALSE,6,Annelida
Contramyzostoma,FALSE,1,Annelida
Coppingeria,FALSE,1,Annelida
Coralliodrilus,FALSE,25,Annelida
Coralliotrocha,FALSE,2,Annelida
Cossura,FALSE,28,Annelida
Cottobdella,FALSE,1,Annelida
Crangonobdella,FALSE,2,Annelida
Craseoschema,FALSE,1,Annelida
Crassibrachia,FALSE,2,Annelida
Crozetospira,FALSE,1,Annelida
Crucigera,FALSE,5,Annelida
Cryobdella,FALSE,3,Annelida
Cryobdellina,FALSE,1,Annelida
Cryptonome,FALSE,4,Annelida
Ctenodrilus,FALSE,4,Annelida
Cyclobrachia,FALSE,1,Annelida
Cyclocirra,FALSE,1,Annelida
