"","Zone","Total CS IF NCBI","Total CS yet to be found","Proportion CS yet to be found"
"Npol",14,218.904645476773,110.904645476773,1.02689486552567
"Ntemp",14,1483.11730205279,874.117302052786,1.43533218727879
"Trop",14,1542.78685042715,967.786850427149,1.68310756596026
"Stemp",14,1131.86557019384,713.865570193841,1.70781236888479
"Spol",14,130.521166509878,89.5211665098777,2.18344308560677
