Class	Value	Variable	Class_num	z_score
Anthozoa	4	Fertilization	5	4
Staurozoa	4	Fertilization	6	4
Cubozoa	-4	Fertilization	8	-4
Hydrozoa	4	Fertilization	9	4
Scyphozoa	4	Fertilization	7	4
Leptocardii	4	Fertilization	10	4
Ascidiacea	0	Fertilization	11	0
Elasmobranchii	-4	Fertilization	12	-4
Holocephali	-4	Fertilization	13	-4
Reptilia	-4	Fertilization	15	-4
Mammalia	-4	Fertilization	16	-4
Actinopterygii	4	Fertilization	14	4
Sagittoidea	-4	Fertilization	17	-4
Enteropneusta	4	Fertilization	18	4
Crinoidea	4	Fertilization	19	4
Holothuroidea	4	Fertilization	20	4
Echinoidea	4	Fertilization	21	4
Ophiuroidea	4	Fertilization	22	4
Asteroidea	4	Fertilization	23	4
Enoplea	-4	Fertilization	40	-4
Chromadorea	-4	Fertilization	41	-4
Heterotardigrada	-4	Fertilization	42	-4
Eutardigrada	-4	Fertilization	43	-4
Diplopoda	-4	Fertilization	47	-4
Chilopoda	-4	Fertilization	48	-4
Ostracoda	-4	Fertilization	51	-4
Malacostraca	-4	Fertilization	52	-4
Thecostraca	-4	Fertilization	53	-4
Copepoda	-4	Fertilization	54	-4
Remipedia	-4	Fertilization	57	-4
Cephalocarida	-4	Fertilization	58	-4
Branchiopoda	-4	Fertilization	56	-4
Tantulocarida	-4	Fertilization	55	-4
Collembola	-4	Fertilization	49	-4
Insecta	-4	Fertilization	50	-4
Pycnogonida	4	Fertilization	44	4
Merostomata	4	Fertilization	45	4
Arachnida	-4	Fertilization	46	-4
Clitellata	4	Fertilization	26	4
Polychaeta	0	Fertilization	27	0
Nemertea	4	Fertilization	28	4
Rhynchonellata	4	Fertilization	29	4
Lingulata	4	Fertilization	30	4
Craniata	4	Fertilization	31	4
Eurotatoria	-4	Fertilization	25	-4
Monoplacophora	4	Fertilization	34	4
Gastropoda	0	Fertilization	35	0
Bivalvia	4	Fertilization	36	4
Polyplacophora	4	Fertilization	37	4
Caudofoveata	4	Fertilization	38	4
Solenogastres	-4	Fertilization	39	-4
Scaphopoda	4	Fertilization	33	4
Cephalopoda	-4	Fertilization	32	-4
Gymnolaemata	-4	Fertilization	24	-4
Homoscleromorpha	4	Fertilization	1	4
Hexactinellida	4	Fertilization	2	4
Calcarea	4	Fertilization	4	4
Demospongiae	4	Fertilization	3	4
Anthozoa	4	Image	5	4
Staurozoa	4	Image	6	4
Cubozoa	4	Image	8	4
Hydrozoa	4	Image	9	4
Scyphozoa	4	Image	7	4
Leptocardii	4	Image	10	4
Ascidiacea	4	Image	11	4
Elasmobranchii	-4	Image	12	-4
Holocephali	-4	Image	13	-4
Reptilia	-4	Image	15	-4
Mammalia	-4	Image	16	-4
Actinopterygii	-4	Image	14	-4
Sagittoidea	4	Image	17	4
Enteropneusta	4	Image	18	4
Crinoidea	4	Image	19	4
Holothuroidea	4	Image	20	4
Echinoidea	4	Image	21	4
Ophiuroidea	4	Image	22	4
Asteroidea	4	Image	23	4
Enoplea	4	Image	40	4
Chromadorea	4	Image	41	4
Heterotardigrada	4	Image	42	4
Eutardigrada	4	Image	43	4
Diplopoda	4	Image	47	4
Chilopoda	4	Image	48	4
Ostracoda	4	Image	51	4
Malacostraca	-4	Image	52	-4
Thecostraca	4	Image	53	4
Copepoda	4	Image	54	4
Remipedia	4	Image	57	4
Cephalocarida	4	Image	58	4
Branchiopoda	-4	Image	56	-4
Tantulocarida	4	Image	55	4
Collembola	4	Image	49	4
Insecta	-4	Image	50	-4
Pycnogonida	4	Image	44	4
Merostomata	-4	Image	45	-4
Arachnida	-4	Image	46	-4
Clitellata	4	Image	26	4
Polychaeta	4	Image	27	4
Nemertea	4	Image	28	4
Rhynchonellata	4	Image	29	4
Lingulata	4	Image	30	4
Craniata	4	Image	31	4
Eurotatoria	4	Image	25	4
Monoplacophora	4	Image	34	4
Gastropoda	-4	Image	35	-4
Bivalvia	4	Image	36	4
Polyplacophora	4	Image	37	4
Caudofoveata	4	Image	38	4
Solenogastres	4	Image	39	4
Scaphopoda	4	Image	33	4
Cephalopoda	-4	Image	32	-4
Gymnolaemata	4	Image	24	4
Homoscleromorpha	4	Image	1	4
Hexactinellida	4	Image	2	4
Calcarea	4	Image	4	4
Demospongiae	4	Image	3	4
Anthozoa	-4	Hard_skeleton	5	-4
Staurozoa	4	Hard_skeleton	6	4
Cubozoa	4	Hard_skeleton	8	4
Hydrozoa	4	Hard_skeleton	9	4
Scyphozoa	4	Hard_skeleton	7	4
Leptocardii	4	Hard_skeleton	10	4
Ascidiacea	4	Hard_skeleton	11	4
Elasmobranchii	-4	Hard_skeleton	12	-4
Holocephali	-4	Hard_skeleton	13	-4
Reptilia	-4	Hard_skeleton	15	-4
Mammalia	-4	Hard_skeleton	16	-4
Actinopterygii	-4	Hard_skeleton	14	-4
Sagittoidea	4	Hard_skeleton	17	4
Enteropneusta	4	Hard_skeleton	18	4
Crinoidea	-4	Hard_skeleton	19	-4
Holothuroidea	-4	Hard_skeleton	20	-4
Echinoidea	-4	Hard_skeleton	21	-4
Ophiuroidea	-4	Hard_skeleton	22	-4
Asteroidea	-4	Hard_skeleton	23	-4
Enoplea	4	Hard_skeleton	40	4
Chromadorea	4	Hard_skeleton	41	4
Heterotardigrada	4	Hard_skeleton	42	4
Eutardigrada	4	Hard_skeleton	43	4
Diplopoda	-4	Hard_skeleton	47	-4
Chilopoda	-4	Hard_skeleton	48	-4
Ostracoda	-4	Hard_skeleton	51	-4
Malacostraca	-4	Hard_skeleton	52	-4
Thecostraca	-4	Hard_skeleton	53	-4
Copepoda	-4	Hard_skeleton	54	-4
Remipedia	-4	Hard_skeleton	57	-4
Cephalocarida	-4	Hard_skeleton	58	-4
Branchiopoda	-4	Hard_skeleton	56	-4
Tantulocarida	-4	Hard_skeleton	55	-4
Collembola	-4	Hard_skeleton	49	-4
Insecta	-4	Hard_skeleton	50	-4
Pycnogonida	-4	Hard_skeleton	44	-4
Merostomata	-4	Hard_skeleton	45	-4
Arachnida	-4	Hard_skeleton	46	-4
Clitellata	4	Hard_skeleton	26	4
Polychaeta	4	Hard_skeleton	27	4
Nemertea	4	Hard_skeleton	28	4
Rhynchonellata	-4	Hard_skeleton	29	-4
Lingulata	-4	Hard_skeleton	30	-4
Craniata	-4	Hard_skeleton	31	-4
Eurotatoria	4	Hard_skeleton	25	4
Monoplacophora	-4	Hard_skeleton	34	-4
Gastropoda	-4	Hard_skeleton	35	-4
Bivalvia	-4	Hard_skeleton	36	-4
Polyplacophora	-4	Hard_skeleton	37	-4
Caudofoveata	4	Hard_skeleton	38	4
Solenogastres	4	Hard_skeleton	39	4
Scaphopoda	-4	Hard_skeleton	33	-4
Cephalopoda	-4	Hard_skeleton	32	-4
Gymnolaemata	-4	Hard_skeleton	24	-4
Homoscleromorpha	-4	Hard_skeleton	1	-4
Hexactinellida	-4	Hard_skeleton	2	-4
Calcarea	-4	Hard_skeleton	4	-4
Demospongiae	-4	Hard_skeleton	3	-4
