EasinID,Name,Authorship,LSID,Reference,HasImpact,IsEUConcern,IsMSConcern,IsOutermostConcern,IsPartNative,IsHorizonScanning,Status
R10314,Omorgus suberosus,"(Fabricius, 1775)",urn:lsid:easin.jrc.ec.europa.eu:species:R10314,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10314,false,false,false,false,false,false,A
R10315,Omosita colon,"(Linnaeus, 1758)",urn:lsid:easin.jrc.ec.europa.eu:species:R10315,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10315,false,false,false,false,false,false,C
R10316,Omosita discoidea,"(Fabricius, 1775)",urn:lsid:easin.jrc.ec.europa.eu:species:R10316,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10316,false,false,false,false,false,false,C
R10317,Omphalodes linifolia,(L.) Moench,urn:lsid:easin.jrc.ec.europa.eu:species:R10317,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10317,false,false,false,false,true,false,A
R10318,Omphalodes verna,Moench,urn:lsid:easin.jrc.ec.europa.eu:species:R10318,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10318,false,false,false,false,true,false,A
R10319,Omphalotus olearius,(DC.) Singer,urn:lsid:easin.jrc.ec.europa.eu:species:R10319,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10319,false,false,false,false,false,false,C
R10321,Onchocerca gutturosa,"Neumann, 1910",urn:lsid:easin.jrc.ec.europa.eu:species:R10321,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10321,false,false,false,false,false,false,A
R10323,Onchocleidus dispar,"Mueller, 1936",urn:lsid:easin.jrc.ec.europa.eu:species:R10323,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10323,false,false,false,false,false,false,A
R20103,Onchocleidus similis,"Mueller, 1936",urn:lsid:easin.jrc.ec.europa.eu:species:R20103,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R20103,false,false,false,false,false,false,A
R10324,Oncorhynchus clarkii,"(Richardson, 1836)",urn:lsid:easin.jrc.ec.europa.eu:species:R10324,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10324,false,false,false,false,false,false,A
R10326,Oncorhynchus gorbuscha,"(Walbaum, 1792)",urn:lsid:easin.jrc.ec.europa.eu:species:R10326,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10326,false,false,false,false,true,false,A
R10327,Oncorhynchus keta,"(Walbaum, 1792)",urn:lsid:easin.jrc.ec.europa.eu:species:R10327,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10327,false,false,false,false,true,false,A
R10328,Oncorhynchus kisutch,"(Walbaum, 1792)",urn:lsid:easin.jrc.ec.europa.eu:species:R10328,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10328,false,false,false,false,false,false,A
R10330,Oncorhynchus mykiss,"(Walbaum, 1792)",urn:lsid:easin.jrc.ec.europa.eu:species:R10330,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10330,true,false,true,true,true,false,A
R10332,Oncorhynchus nerka,"(Walbaum, 1792)",urn:lsid:easin.jrc.ec.europa.eu:species:R10332,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10332,false,false,false,false,true,false,A
R10333,Oncorhynchus rhodurus,"Jordan & McGregor, 1925",urn:lsid:easin.jrc.ec.europa.eu:species:R10333,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10333,false,false,false,false,false,false,A
R10334,Oncorhynchus tshawytscha,"(Walbaum, 1792)",urn:lsid:easin.jrc.ec.europa.eu:species:R10334,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10334,true,false,false,false,true,false,A
R10335,Oncosiphon suffruticosum,(L.) Källersjö,urn:lsid:easin.jrc.ec.europa.eu:species:R10335,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10335,false,false,false,false,false,false,A
R10336,Ondatra zibethicus,"(Linnaeus, 1766)",urn:lsid:easin.jrc.ec.europa.eu:species:R10336,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10336,true,true,true,true,false,false,A
R10338,Ondatralaelaps multispinosus,"(Banks, 1909) ",urn:lsid:easin.jrc.ec.europa.eu:species:R10338,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10338,false,false,false,false,false,false,A
R10340,Onobrychis aequidentata,(Sm.) d'Urv.,urn:lsid:easin.jrc.ec.europa.eu:species:R10340,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10340,false,false,false,false,true,false,A
R10341,Onobrychis caput-galli,(L.) Lam.,urn:lsid:easin.jrc.ec.europa.eu:species:R10341,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10341,false,false,false,false,true,false,A
R10342,Onobrychis crista-galli,(L.) Lam.,urn:lsid:easin.jrc.ec.europa.eu:species:R10342,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10342,false,false,false,false,true,false,A
R10343,Onobrychis tournefortii,(Willd.) Desv.,urn:lsid:easin.jrc.ec.europa.eu:species:R10343,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10343,false,false,false,false,true,false,C
R10344,Onobrychis viciifolia,Scop.,urn:lsid:easin.jrc.ec.europa.eu:species:R10344,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10344,false,false,false,false,true,false,A
R10345,Onoclea sensibilis,L.,urn:lsid:easin.jrc.ec.europa.eu:species:R10345,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10345,false,false,false,false,false,false,A
R10346,Ononis alopecuroides,L.,urn:lsid:easin.jrc.ec.europa.eu:species:R10346,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10346,false,false,false,false,true,false,A
R10347,Ononis alopecuroides subsp. exalopecuroides,(G.López) Greuter & Burdet,urn:lsid:easin.jrc.ec.europa.eu:species:R10347,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10347,false,false,false,false,false,false,A
R10351,Ononis diffusa,Ten.,urn:lsid:easin.jrc.ec.europa.eu:species:R10351,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10351,false,false,false,false,true,false,A
R10352,Ononis mitissima,L.,urn:lsid:easin.jrc.ec.europa.eu:species:R10352,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10352,false,false,false,false,true,false,A
R10353,Ononis natrix,L.,urn:lsid:easin.jrc.ec.europa.eu:species:R10353,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10353,false,false,false,false,true,false,A
R10356,Ononis spinosa subsp. hircina,(Jacq.) Gams,urn:lsid:easin.jrc.ec.europa.eu:species:R10356,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10356,false,false,false,false,true,false,A
R18824,Ononis spinosa subsp. procurrens,(Wallr.) Briq.,urn:lsid:easin.jrc.ec.europa.eu:species:R18824,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R18824,false,false,false,false,true,false,A
R10357,Ononis spinosa subsp. spinosa,L.,urn:lsid:easin.jrc.ec.europa.eu:species:R10357,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10357,false,false,false,false,true,false,A
R10358,Ononis subspicata,Lag.,urn:lsid:easin.jrc.ec.europa.eu:species:R10358,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10358,false,false,false,false,true,false,A
R10359,Onopordum acanthium,L.,urn:lsid:easin.jrc.ec.europa.eu:species:R10359,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10359,true,false,false,false,true,false,A
R18649,Onopordum beckianum,John,urn:lsid:easin.jrc.ec.europa.eu:species:R18649,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R18649,false,false,false,false,false,false,Q
R10360,Onopordum bracteatum,Boiss. & Heldr.,urn:lsid:easin.jrc.ec.europa.eu:species:R10360,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10360,false,false,false,false,true,false,A
R10362,Onopordum illyricum,L.,urn:lsid:easin.jrc.ec.europa.eu:species:R10362,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10362,true,false,false,false,true,false,A
R10363,Onopordum macracanthum,Schousb.,urn:lsid:easin.jrc.ec.europa.eu:species:R10363,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10363,false,false,false,false,true,false,A
R10364,Onopordum nervosum,Boiss.,urn:lsid:easin.jrc.ec.europa.eu:species:R10364,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10364,false,false,false,false,true,false,A
R10365,Onopordum tauricum,Willd.,urn:lsid:easin.jrc.ec.europa.eu:species:R10365,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10365,false,false,false,false,true,false,A
R10367,Onthophagus illyricus,"(Scopoli, 1763)",urn:lsid:easin.jrc.ec.europa.eu:species:R10367,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10367,false,false,false,false,true,false,Q
R10369,Onthophagus taurus,"(Schreber, 1759)",urn:lsid:easin.jrc.ec.europa.eu:species:R10369,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10369,false,false,false,false,true,false,Q
R10370,Onthophagus vacca,"(Linnaeus, 1767)",urn:lsid:easin.jrc.ec.europa.eu:species:R10370,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10370,false,false,false,false,true,false,Q
R17874,Onthophagus verticicornis,"(Laicharting, 1781)",urn:lsid:easin.jrc.ec.europa.eu:species:R17874,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R17874,false,false,false,false,true,false,Q
R10371,Onychium japonicum,Blume,urn:lsid:easin.jrc.ec.europa.eu:species:R10371,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10371,false,false,false,false,false,false,A
R17125,Onychiurus folsomi,"(Schaeffer, 1900)",urn:lsid:easin.jrc.ec.europa.eu:species:R17125,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R17125,false,false,false,false,false,false,A
R10372,Ooencyrtus kuwanae,(Howard),urn:lsid:easin.jrc.ec.europa.eu:species:R10372,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10372,false,false,false,false,false,false,A
R10373,Oomyzus brevistigma,"(Gahan, 1936)",urn:lsid:easin.jrc.ec.europa.eu:species:R10373,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10373,false,false,false,false,false,false,A
R10376,Oosternum sharpi,"M.Hansen, 1999",urn:lsid:easin.jrc.ec.europa.eu:species:R10376,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10376,false,false,false,false,false,false,A
R19132,Opeas hannense,"(Rang, 1831)",urn:lsid:easin.jrc.ec.europa.eu:species:R19132,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R19132,false,false,false,false,false,false,A
R20273,Operculina ammonoides,"(Gronovius, 1781) ",urn:lsid:easin.jrc.ec.europa.eu:species:R20273,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R20273,false,false,false,false,false,false,A
R10378,Operophtera brumata,"(Linnaeus, 1758)",urn:lsid:easin.jrc.ec.europa.eu:species:R10378,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10378,false,false,false,false,true,false,A
R10379,Opetiopalpus scutellaris,"(Panzer, 1797)",urn:lsid:easin.jrc.ec.europa.eu:species:R10379,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10379,false,false,false,false,false,false,A
R10380,Ophelimus maskelli,"(Ashmead, 1900)",urn:lsid:easin.jrc.ec.europa.eu:species:R10380,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10380,false,false,false,false,false,false,A
R10381,Ophiactis macrolepidota,"Marktanner-Turneretscher, 1887",urn:lsid:easin.jrc.ec.europa.eu:species:R10381,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10381,false,false,false,false,false,false,A
R10382,Ophiactis savignyi,"(Müller & Troschel, 1842)",urn:lsid:easin.jrc.ec.europa.eu:species:R10382,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10382,false,false,false,false,false,false,A
R19972,Ophidiomyces ophiodiicola,"(Guarro, Deanna A.Sutton, Wickes & Rajeev) Sigler, Hambl. & Paré",urn:lsid:easin.jrc.ec.europa.eu:species:R19972,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R19972,false,false,false,false,false,false,C
R19632,Ophioblennius atlanticus,"(Valenciennes, 1836)",urn:lsid:easin.jrc.ec.europa.eu:species:R19632,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R19632,false,false,false,false,false,false,A
R17403,Ophiocoma scolopendrina,"(Lamarck, 1816)",urn:lsid:easin.jrc.ec.europa.eu:species:R17403,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R17403,false,false,false,false,false,false,A
R10384,Ophiodesmus albonanus,"(Latzel, 1895)",urn:lsid:easin.jrc.ec.europa.eu:species:R10384,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10384,false,false,false,false,true,false,A
R17706,Ophiomyia kwansonis,"Sasakawa, 1961",urn:lsid:easin.jrc.ec.europa.eu:species:R17706,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R17706,false,false,false,false,false,false,A
R10386,Ophiopogon japonicus,(Thunb.) Ker Gawl.,urn:lsid:easin.jrc.ec.europa.eu:species:R10386,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10386,false,false,false,false,false,false,A
R10388,Ophiostoma novo-ulmi,Brasier,urn:lsid:easin.jrc.ec.europa.eu:species:R10388,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10388,true,false,false,false,false,false,A
R19471,Ophiostoma novo-ulmi subsp. americana,"Brasier & S.A.Kirk, 2001",urn:lsid:easin.jrc.ec.europa.eu:species:R19471,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R19471,true,false,false,false,false,false,A
R19472,Ophiostoma novo-ulmi subsp. novo-ulmi,,urn:lsid:easin.jrc.ec.europa.eu:species:R19472,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R19472,true,false,false,false,false,false,A
R10389,Ophiostoma piceae,"(Münch) Syd. & P.Syd., 1919",urn:lsid:easin.jrc.ec.europa.eu:species:R10389,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10389,false,false,false,false,false,false,C
R10390,Ophiostoma ulmi,(Buisman) Nannf.,urn:lsid:easin.jrc.ec.europa.eu:species:R10390,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10390,true,false,false,false,false,false,A
R19559,Ophraella communa,"LeSage, 1986",urn:lsid:easin.jrc.ec.europa.eu:species:R19559,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R19559,false,false,false,false,false,false,A
R10391,Ophryoglena hemophaga,"Molloy, Lynn & Giamberini, 2005",urn:lsid:easin.jrc.ec.europa.eu:species:R10391,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10391,false,false,false,false,true,false,A
