nb_zones	isInSurvey	year
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
4	FALSE	1758
3	TRUE	1758
3	FALSE	NA
2	FALSE	NA
4	FALSE	NA
3	FALSE	NA
1	FALSE	NA
2	FALSE	1973
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
2	FALSE	1838
3	FALSE	NA
4	FALSE	1883
2	FALSE	1846
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
1	FALSE	NA
1	FALSE	NA
3	FALSE	NA
3	TRUE	NA
3	FALSE	NA
5	FALSE	1867
3	FALSE	NA
4	FALSE	NA
3	FALSE	NA
2	TRUE	NA
2	FALSE	1792
3	FALSE	NA
4	FALSE	NA
3	FALSE	NA
3	FALSE	NA
1	FALSE	1991
3	FALSE	1822
2	FALSE	1861
4	FALSE	1758
1	FALSE	NA
3	FALSE	NA
2	FALSE	NA
3	FALSE	1843
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
5	FALSE	NA
2	FALSE	NA
2	FALSE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
1	FALSE	NA
2	FALSE	NA
5	TRUE	NA
5	FALSE	NA
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
1	FALSE	NA
2	FALSE	NA
3	FALSE	NA
1	FALSE	NA
4	FALSE	1866
2	FALSE	NA
3	FALSE	NA
1	FALSE	NA
2	FALSE	NA
3	FALSE	1758
1	FALSE	NA
3	FALSE	NA
3	TRUE	1758
2	FALSE	NA
2	FALSE	1861
2	FALSE	NA
1	FALSE	NA
2	FALSE	NA
3	FALSE	NA
4	TRUE	NA
1	FALSE	NA
2	FALSE	NA
2	FALSE	1878
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
4	FALSE	1914
4	FALSE	1918
3	FALSE	NA
2	FALSE	NA
3	FALSE	NA
3	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
3	FALSE	NA
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
4	TRUE	NA
1	FALSE	NA
1	FALSE	NA
3	TRUE	1802
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
3	FALSE	1888
2	FALSE	NA
3	FALSE	1816
2	FALSE	NA
2	FALSE	NA
4	FALSE	NA
2	FALSE	1903
3	FALSE	NA
3	FALSE	1758
3	FALSE	NA
3	FALSE	1930
2	FALSE	NA
2	FALSE	NA
3	FALSE	1888
1	FALSE	NA
2	FALSE	NA
4	FALSE	NA
3	FALSE	1758
2	FALSE	NA
3	FALSE	NA
4	FALSE	NA
4	FALSE	1758
2	FALSE	1920
2	FALSE	1966
1	FALSE	1924
2	FALSE	NA
3	FALSE	1893
3	FALSE	1821
3	FALSE	1843
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
2	FALSE	NA
1	FALSE	1991
2	FALSE	NA
3	FALSE	NA
4	FALSE	1872
3	FALSE	1862
2	FALSE	NA
3	FALSE	NA
5	FALSE	1763
2	FALSE	1846
2	FALSE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
3	FALSE	NA
4	FALSE	NA
5	FALSE	NA
2	FALSE	NA
2	FALSE	NA
2	FALSE	NA
4	FALSE	1758
3	FALSE	NA
4	TRUE	NA
3	FALSE	NA
5	FALSE	NA
2	FALSE	NA
3	FALSE	1758
3	FALSE	NA
3	FALSE	NA
1	FALSE	NA
3	FALSE	NA
2	FALSE	NA
1	FALSE	NA
3	FALSE	NA
3	FALSE	NA
5	FALSE	1828
3	FALSE	NA
3	FALSE	NA
1	FALSE	NA
3	FALSE	1910
2	FALSE	NA
3	TRUE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	1758
2	FALSE	NA
2	FALSE	1861
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
4	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
3	FALSE	NA
3	FALSE	NA
1	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	1758
3	FALSE	NA
3	FALSE	NA
5	FALSE	1900
3	FALSE	NA
2	FALSE	NA
1	FALSE	NA
3	FALSE	NA
3	FALSE	1904
1	FALSE	1938
1	FALSE	NA
3	FALSE	NA
2	FALSE	1849
3	FALSE	NA
2	FALSE	NA
3	FALSE	NA
3	FALSE	1836
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
3	FALSE	NA
3	FALSE	NA
4	FALSE	1860
2	FALSE	NA
2	FALSE	NA
4	FALSE	1767
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
1	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
1	FALSE	NA
1	FALSE	NA
2	FALSE	NA
4	FALSE	1810
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
1	FALSE	NA
2	FALSE	NA
2	FALSE	NA
2	FALSE	NA
2	FALSE	NA
2	FALSE	1767
3	FALSE	NA
3	FALSE	NA
2	FALSE	NA
1	FALSE	NA
3	FALSE	NA
5	FALSE	NA
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
2	FALSE	NA
1	FALSE	NA
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	1786
2	FALSE	NA
1	FALSE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
4	TRUE	NA
3	FALSE	NA
2	FALSE	NA
2	TRUE	NA
2	FALSE	NA
2	FALSE	NA
4	FALSE	NA
2	TRUE	NA
2	FALSE	NA
4	FALSE	NA
2	FALSE	NA
3	FALSE	1787
3	FALSE	NA
2	FALSE	NA
3	FALSE	NA
3	FALSE	1833
3	FALSE	NA
3	TRUE	NA
2	FALSE	NA
3	FALSE	NA
4	FALSE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
3	TRUE	1786
2	FALSE	NA
3	FALSE	NA
3	FALSE	NA
1	FALSE	NA
3	FALSE	NA
2	FALSE	1856
2	FALSE	NA
3	FALSE	NA
3	FALSE	NA
1	FALSE	NA
1	FALSE	NA
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
3	FALSE	1874
3	FALSE	NA
2	FALSE	1814
2	FALSE	1758
3	FALSE	NA
4	FALSE	NA
4	FALSE	1758
3	TRUE	NA
2	FALSE	NA
5	FALSE	NA
1	FALSE	NA
3	FALSE	NA
3	FALSE	1843
2	FALSE	1758
2	FALSE	NA
1	FALSE	2001
2	FALSE	NA
4	FALSE	NA
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
2	FALSE	1829
3	FALSE	NA
4	FALSE	NA
4	FALSE	1827
2	FALSE	1789
1	FALSE	NA
3	TRUE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
3	FALSE	NA
4	FALSE	NA
3	FALSE	NA
2	TRUE	NA
3	FALSE	NA
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
2	FALSE	NA
4	FALSE	NA
3	FALSE	1828
3	FALSE	NA
2	FALSE	1866
2	FALSE	NA
3	FALSE	NA
3	FALSE	NA
2	FALSE	NA
3	TRUE	1767
3	FALSE	1864
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
1	FALSE	NA
3	FALSE	NA
3	FALSE	NA
1	FALSE	NA
2	FALSE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
4	FALSE	1758
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
4	FALSE	1883
3	FALSE	NA
2	FALSE	1831
2	FALSE	NA
1	FALSE	NA
4	FALSE	NA
2	FALSE	NA
2	FALSE	NA
1	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
3	FALSE	NA
4	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
3	FALSE	NA
4	FALSE	NA
1	FALSE	NA
3	FALSE	NA
4	FALSE	NA
2	FALSE	NA
5	FALSE	NA
3	FALSE	NA
3	FALSE	1873
3	FALSE	NA
3	FALSE	NA
2	FALSE	NA
1	FALSE	NA
4	FALSE	1851
5	TRUE	1825
3	FALSE	NA
3	FALSE	NA
2	TRUE	NA
1	TRUE	NA
2	FALSE	1861
2	FALSE	1920
2	FALSE	NA
1	FALSE	1758
2	FALSE	NA
2	FALSE	NA
2	FALSE	1934
1	FALSE	1870
2	FALSE	NA
4	FALSE	NA
1	FALSE	1902
2	FALSE	NA
3	FALSE	NA
3	TRUE	1842
1	FALSE	NA
3	FALSE	1863
2	FALSE	NA
1	FALSE	NA
3	FALSE	NA
2	FALSE	NA
1	FALSE	NA
1	FALSE	1947
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
2	FALSE	NA
2	FALSE	1871
3	FALSE	NA
2	FALSE	NA
2	FALSE	1816
2	FALSE	1810
1	FALSE	NA
3	FALSE	NA
5	FALSE	NA
2	FALSE	NA
3	FALSE	NA
1	FALSE	NA
3	FALSE	NA
1	TRUE	NA
3	FALSE	1789
3	FALSE	NA
4	TRUE	NA
2	FALSE	NA
2	FALSE	NA
3	TRUE	1843
3	TRUE	1879
3	FALSE	NA
3	FALSE	NA
1	FALSE	2000
2	FALSE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
2	FALSE	1786
3	FALSE	NA
3	FALSE	NA
1	FALSE	NA
4	FALSE	NA
4	FALSE	NA
2	FALSE	NA
3	FALSE	NA
4	FALSE	NA
1	FALSE	1885
2	FALSE	2003
2	FALSE	1960
3	FALSE	1857
3	FALSE	NA
1	FALSE	NA
3	FALSE	NA
1	FALSE	NA
2	FALSE	NA
3	FALSE	NA
1	FALSE	NA
3	FALSE	NA
2	FALSE	NA
3	FALSE	NA
4	FALSE	NA
2	FALSE	NA
4	FALSE	NA
4	FALSE	NA
1	FALSE	NA
2	FALSE	NA
2	FALSE	NA
4	FALSE	NA
3	FALSE	NA
2	FALSE	NA
1	FALSE	NA
3	FALSE	NA
3	FALSE	1802
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
1	FALSE	NA
3	FALSE	1861
1	FALSE	1905
1	FALSE	NA
3	FALSE	NA
3	FALSE	1860
3	FALSE	NA
3	FALSE	NA
2	FALSE	NA
3	FALSE	NA
1	FALSE	NA
4	FALSE	NA
3	TRUE	1798
1	FALSE	NA
2	FALSE	1846
4	FALSE	NA
3	TRUE	NA
4	FALSE	1845
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
1	FALSE	NA
3	FALSE	NA
2	FALSE	NA
1	FALSE	NA
1	FALSE	NA
3	FALSE	NA
2	FALSE	1767
2	FALSE	1958
1	FALSE	NA
3	FALSE	NA
3	TRUE	NA
3	TRUE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
4	FALSE	NA
3	FALSE	NA
1	FALSE	NA
3	TRUE	NA
4	TRUE	NA
3	TRUE	NA
3	FALSE	NA
3	FALSE	NA
1	FALSE	NA
1	FALSE	NA
3	FALSE	NA
5	FALSE	NA
3	FALSE	NA
4	FALSE	NA
3	FALSE	NA
2	FALSE	NA
3	FALSE	1849
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
1	FALSE	NA
2	FALSE	NA
1	FALSE	NA
1	FALSE	NA
3	FALSE	NA
