Class	Value	Variable	Class_num	z_score
Monoplacophora	30	Effort_sampling	33	-0.894919301
Gastropoda	37107	Effort_sampling	34	9.761563715
Bivalvia	8340	Effort_sampling	35	1.493498691
Polyplacophora	1019	Effort_sampling	36	-0.610665944
Caudofoveata	141	Effort_sampling	37	-0.863016244
Solenogastres	290	Effort_sampling	38	-0.820191421
Scaphopoda	577	Effort_sampling	32	-0.737703339
Cephalopoda	814	Effort_sampling	31	-0.669586003
Gymnolaemata	5604	Effort_sampling	23	0.707131468
Homoscleromorpha	126	Effort_sampling	1	-0.867327468
Hexactinellida	681	Effort_sampling	2	-0.707812187
Calcarea	792	Effort_sampling	4	-0.675909131
Demospongiae	7362	Effort_sampling	3	1.212406898
Anthozoa	-0.449327483	Residuals	5	-1.13075818
Cubozoa	-0.860476997	Residuals	7	-2.079793909
Hydrozoa	2.763467944	Residuals	8	6.285175789
Scyphozoa	4.004966489	Residuals	6	9.150864392
Leptocardii	1.347013121	Residuals	9	3.015644418
Ascidiacea	2.171027466	Residuals	10	4.917675254
Elasmobranchii	-0.074117341	Residuals	11	-0.264679496
Holocephali	-0.97577462	Residuals	12	-2.345929608
Reptilia	1.494624201	Residuals	14	3.356367645
Mammalia	1.932450451	Residuals	15	4.366979938
Actinopterygii	-3.467439973	Residuals	13	-8.097315328
Sagittoidea	1.344664559	Residuals	16	3.010223351
Enteropneusta	0.598677004	Residuals	17	1.288297827
Crinoidea	0.210530614	Residuals	18	0.39235905
Holothuroidea	-1.135185995	Residuals	19	-2.713890862
Echinoidea	0.704975497	Residuals	20	1.533661288
Ophiuroidea	0.928564528	Residuals	21	2.049760593
Asteroidea	1.976101361	Residuals	22	4.467737138
Enoplea	-1.212489861	Residuals	39	-2.892327486
Chromadorea	-1.457081307	Residuals	40	-3.456905608
Heterotardigrada	0.717633279	Residuals	41	1.562878609
Eutardigrada	-0.232525015	Residuals	42	-0.630323955
Diplopoda	-0.314301793	Residuals	46	-0.819085176
Chilopoda	-0.535980546	Residuals	47	-1.330775085
Ostracoda	-2.352285347	Residuals	50	-5.523260035
Malacostraca	-1.543318705	Residuals	51	-3.655963054
Thecostraca	1.54160113	Residuals	52	3.464802125
Copepoda	0.707914755	Residuals	53	1.540445829
Remipedia	-0.719332186	Residuals	56	-1.753996447
Cephalocarida	-0.32619611	Residuals	57	-0.846540231
Branchiopoda	-0.898781865	Residuals	55	-2.168211109
Tantulocarida	-0.358635267	Residuals	54	-0.921417903
Collembola	-0.541381462	Residuals	48	-1.343241747
Insecta	-2.901744725	Residuals	49	-6.791549461
Pycnogonida	-1.132062485	Residuals	43	-2.706681021
Merostomata	-0.33376448	Residuals	44	-0.864009918
Arachnida	-2.439403234	Residuals	45	-5.724349868
Clitellata	0.540905332	Residuals	25	1.154946383
Polychaeta	5.188299515	Residuals	26	11.88229245
Nemertea	4.763015898	Residuals	27	10.90063169
Rhynchonellata	-1.530861697	Residuals	28	-3.627209168
Lingulata	-0.466025188	Residuals	29	-1.169300654
Craniata	-0.32619611	Residuals	30	-0.846540231
Eurotatoria	0.655084859	Residuals	24	1.418501237
Monoplacophora	-0.45026006	Residuals	33	-1.132910802
Gastropoda	-1.505894151	Residuals	34	-3.56957784
Bivalvia	1.236180052	Residuals	35	2.759814024
Polyplacophora	-1.813044822	Residuals	36	-4.278558273
Caudofoveata	-0.928345537	Residuals	37	-2.236451445
Solenogastres	-1.088440019	Residuals	38	-2.605989479
Scaphopoda	-1.407195309	Residuals	32	-3.34175627
Cephalopoda	2.086805196	Residuals	31	4.723269227
Gymnolaemata	0.265912057	Residuals	23	0.520193249
Homoscleromorpha	1.210604313	Residuals	1	2.700778833
Hexactinellida	-1.935049063	Residuals	2	-4.560174522
Calcarea	0.920009293	Residuals	4	2.030012975
Demospongiae	-1.286793635	Residuals	3	-3.063839146
Anthozoa	-4	Fertilization	5	-4
Cubozoa	4	Fertilization	7	4
Hydrozoa	-4	Fertilization	8	-4
Scyphozoa	-4	Fertilization	6	-4
Leptocardii	-4	Fertilization	9	-4
Ascidiacea	0	Fertilization	10	0
Elasmobranchii	4	Fertilization	11	4
Holocephali	4	Fertilization	12	4
Reptilia	4	Fertilization	14	4
Mammalia	4	Fertilization	15	4
Actinopterygii	-4	Fertilization	13	-4
Sagittoidea	4	Fertilization	16	4
Enteropneusta	-4	Fertilization	17	-4
Crinoidea	-4	Fertilization	18	-4
Holothuroidea	-4	Fertilization	19	-4
Echinoidea	-4	Fertilization	20	-4
Ophiuroidea	-4	Fertilization	21	-4
Asteroidea	-4	Fertilization	22	-4
Enoplea	4	Fertilization	39	4
Chromadorea	4	Fertilization	40	4
Heterotardigrada	4	Fertilization	41	4
Eutardigrada	4	Fertilization	42	4
Diplopoda	4	Fertilization	46	4
Chilopoda	4	Fertilization	47	4
Ostracoda	4	Fertilization	50	4
Malacostraca	4	Fertilization	51	4
Thecostraca	4	Fertilization	52	4
Copepoda	4	Fertilization	53	4
Remipedia	4	Fertilization	56	4
Cephalocarida	4	Fertilization	57	4
Branchiopoda	4	Fertilization	55	4
Tantulocarida	4	Fertilization	54	4
Collembola	4	Fertilization	48	4
Insecta	4	Fertilization	49	4
Pycnogonida	-4	Fertilization	43	-4
Merostomata	-4	Fertilization	44	-4
Arachnida	4	Fertilization	45	4
Clitellata	-4	Fertilization	25	-4
Polychaeta	0	Fertilization	26	0
Nemertea	-4	Fertilization	27	-4
Rhynchonellata	-4	Fertilization	28	-4
Lingulata	-4	Fertilization	29	-4
Craniata	-4	Fertilization	30	-4
Eurotatoria	4	Fertilization	24	4
Monoplacophora	-4	Fertilization	33	-4
Gastropoda	0	Fertilization	34	0
Bivalvia	-4	Fertilization	35	-4
Polyplacophora	-4	Fertilization	36	-4
Caudofoveata	-4	Fertilization	37	-4
Solenogastres	4	Fertilization	38	4
Scaphopoda	-4	Fertilization	32	-4
Cephalopoda	4	Fertilization	31	4
Gymnolaemata	4	Fertilization	23	4
Homoscleromorpha	-4	Fertilization	1	-4
Hexactinellida	-4	Fertilization	2	-4
Calcarea	-4	Fertilization	4	-4
Demospongiae	-4	Fertilization	3	-4
Anthozoa	-4	Image	5	-4
Cubozoa	4	Image	7	4
Hydrozoa	-4	Image	8	-4
Scyphozoa	-4	Image	6	-4
Leptocardii	-4	Image	9	-4
Ascidiacea	-4	Image	10	-4
Elasmobranchii	4	Image	11	4
Holocephali	4	Image	12	4
Reptilia	4	Image	14	4
Mammalia	4	Image	15	4
Actinopterygii	4	Image	13	4
Sagittoidea	-4	Image	16	-4
Enteropneusta	-4	Image	17	-4
Crinoidea	-4	Image	18	-4
Holothuroidea	-4	Image	19	-4
Echinoidea	-4	Image	20	-4
Ophiuroidea	-4	Image	21	-4
Asteroidea	-4	Image	22	-4
Enoplea	-4	Image	39	-4
Chromadorea	-4	Image	40	-4
Heterotardigrada	-4	Image	41	-4
Eutardigrada	-4	Image	42	-4
Diplopoda	-4	Image	46	-4
Chilopoda	-4	Image	47	-4
Ostracoda	-4	Image	50	-4
Malacostraca	4	Image	51	4
Thecostraca	-4	Image	52	-4
Copepoda	-4	Image	53	-4
Remipedia	-4	Image	56	-4
Cephalocarida	-4	Image	57	-4
Branchiopoda	4	Image	55	4
Tantulocarida	-4	Image	54	-4
Collembola	-4	Image	48	-4
Insecta	4	Image	49	4
Pycnogonida	-4	Image	43	-4
Merostomata	4	Image	44	4
Arachnida	4	Image	45	4
Clitellata	-4	Image	25	-4
Polychaeta	-4	Image	26	-4
Nemertea	-4	Image	27	-4
Rhynchonellata	-4	Image	28	-4
Lingulata	-4	Image	29	-4
Craniata	-4	Image	30	-4
Eurotatoria	-4	Image	24	-4
Monoplacophora	-4	Image	33	-4
Gastropoda	4	Image	34	4
Bivalvia	4	Image	35	4
Polyplacophora	-4	Image	36	-4
Caudofoveata	-4	Image	37	-4
Solenogastres	-4	Image	38	-4
Scaphopoda	-4	Image	32	-4
Cephalopoda	4	Image	31	4
Gymnolaemata	-4	Image	23	-4
Homoscleromorpha	-4	Image	1	-4
Hexactinellida	-4	Image	2	-4
Calcarea	-4	Image	4	-4
Demospongiae	-4	Image	3	-4
Anthozoa	-4	Genitals	5	-4
Cubozoa	-4	Genitals	7	-4
Hydrozoa	-4	Genitals	8	-4
Scyphozoa	-4	Genitals	6	-4
Leptocardii	-4	Genitals	9	-4
Ascidiacea	-4	Genitals	10	-4
Elasmobranchii	4	Genitals	11	4
Holocephali	4	Genitals	12	4
Reptilia	4	Genitals	14	4
Mammalia	4	Genitals	15	4
Actinopterygii	-4	Genitals	13	-4
Sagittoidea	-4	Genitals	16	-4
Enteropneusta	-4	Genitals	17	-4
Crinoidea	-4	Genitals	18	-4
Holothuroidea	-4	Genitals	19	-4
Echinoidea	-4	Genitals	20	-4
Ophiuroidea	-4	Genitals	21	-4
Asteroidea	-4	Genitals	22	-4
