,V1,num_cs,num_worms,Prop-missing,Nb_bio_missing,,,,,Class,Value,Variable,Class_num,z-score,,,,,Class,Class_num,z_score,,Class,Value,Variable,Class_num,z-score
f,Palaeonemertea,3,115,0.713043478,342.0684411,,,,,Palaeonemertea,3,1num_CS,23,-0.510543975,,,,,,,-1.219691565,,Enoplea,1,num_CS,30,-0.567678021
f,Eurotatoria,1,142,0.823943662,1282.756654,,,,,Eurotatoria,1,1num_CS,20,-0.567678021,,,,,,,1.10641656,,Chromadorea,2,num_CS,31,-0.539110998
f,Gastropoda,118,37786,0.85200868,302.419599,,,,,Gastropoda,118,1num_CS,27,2.774663667,,,,,,,0.712275976,,Heterotardigrada,1,num_CS,32,-0.567678021
f,Bivalvia,32,8350,0.810898204,247.3887833,,,,,Bivalvia,32,1num_CS,28,0.317899692,,,,,,,0.039934842,,Pycnogonida,6,num_CS,33,-0.424842906
f,Polyplacophora,2,1028,0.781128405,256.5513308,,,,,Polyplacophora,2,1num_CS,29,-0.539110998,,,,,,,-1.497671091,,Arachnida,3,num_CS,34,-0.510543975
f,Cephalopoda,21,823,0.465370595,248.4068441,,,,,Cephalopoda,21,1num_CS,26,0.003662439,,,,,,,-1.542658765,,Insecta,1,num_CS,35,-0.567678021
f,Gymnolaemata,8,5623,0.939711898,277.9306084,,,,,Gymnolaemata,8,1num_CS,19,-0.36770886,,,,,,,-1.400667764,,Ostracoda,3,num_CS,36,-0.510543975
f,Homoscleromorpha,1,126,0.634920635,342.0684411,,,,,Homoscleromorpha,1,1num_CS,1,-0.567678021,,,,,,,0.649741758,,Malacostraca,99,num_CS,37,2.23189023
f,Calcarea,3,793,0.775535939,285.0570342,,,,,Calcarea,3,1num_CS,3,-0.510543975,,,,,,,0.084416126,,Thecostraca,11,num_CS,38,-0.282007791
f,Demospongiae,14,7478,0.859320674,213.7927757,,,,,Demospongiae,14,1num_CS,2,-0.196306722,,,Anthozoa,5,3,,,,Copepoda,24,num_CS,39,0.089363508
,,,,,,,,,,Anthozoa,7197,2num_WoRMS,4,0.322776826,,,Staurozoa,6,3,,,,,,,,
,,,,,,,,,,Cubozoa,48,2num_WoRMS,6,-0.552086876,,,Cubozoa,8,-3,,,,,,,,
,,,,,11223.18188,,,,,Hydrozoa,3720,2num_WoRMS,7,-0.102723397,,,Hydrozoa,9,3,,,,,,,,
,,,,,,,,,,Scyphozoa,223,2num_WoRMS,5,-0.530671133,,,Scyphozoa,7,3,,,,,,,,
,,,,,,,,,,Leptocardii,30,2num_WoRMS,8,-0.554289639,,,Leptocardii,10,3,,,,,,,,
,,,,,,,,,,Ascidiacea,2934,2num_WoRMS,9,-0.198910678,,,Ascidiacea,11,0,,,,,,,,
,,,,,,,,,,Elasmobranchii,1218,2num_WoRMS,10,-0.408907336,,,Elasmobranchii,12,-3,,,,,,,,
,,,,,,,,,,Reptilia,93,2num_WoRMS,12,-0.546579971,,,Holocephali,13,-3,,,,,,,,
,,,,,,,,,,Actinopterygii,16766,2num_WoRMS,11,1.493789662,,,Reptilia,15,-3,,,,,,,,
,,,,,,,,,,Sagittoidea,132,2num_WoRMS,13,-0.54180732,,,Mammalia,16,-3,,,,,,,,
,,,,,,,,,,Crinoidea,673,2num_WoRMS,14,-0.475602079,,,Actinopterygii,14,3,,,,,,,,
,,,,,,,,,,Holothuroidea,1749,2num_WoRMS,15,-0.343925853,,,Sagittoidea,17,-3,,,,,,,,
,,,,,,,,,,Echinoidea,1013,2num_WoRMS,16,-0.43399435,,,Enteropneusta,18,3,,,,,,,,
,,,,,,,,,,Ophiuroidea,2096,2num_WoRMS,17,-0.301461493,,,Crinoidea,19,3,,,,,,,,
,,,,,,,,,,Asteroidea,1911,2num_WoRMS,18,-0.324100993,,,Holothuroidea,20,3,,,,,,,,
,,,,,,,,,,Enoplea,1673,2num_WoRMS,30,-0.353226404,,,Echinoidea,21,3,,,,,,,,
,,,,,,,,,,Chromadorea,4441,2num_WoRMS,31,-0.014490535,,,Ophiuroidea,22,3,,,,,,,,
,,,,,,,,,,Heterotardigrada,204,2num_WoRMS,32,-0.532996271,,,Asteroidea,23,3,,,,,,,,
,,,,,,,,,,Ostracoda,5823,2num_WoRMS,36,0.154632648,,,Enoplea,40,-3,,,,,,,,
,,,,,,,,,,Malacostraca,32573,2num_WoRMS,37,3.42818196,,,Chromadorea,41,-3,,,,,,,,
,,,,,,,,,,Thecostraca,1495,2num_WoRMS,38,-0.375009274,,,Heterotardigrada,42,-3,,,,,,,,
,,,,,,,,,,Copepoda,10888,2num_WoRMS,39,0.774465443,,,Eutardigrada,43,-3,,,,,,,,
,,,,,,,,,,Insecta,1591,2num_WoRMS,35,-0.363261209,,,Diplopoda,47,-3,,,,,,,,
,,,,,,,,,,Pycnogonida,1349,2num_WoRMS,33,-0.392876123,,,Chilopoda,48,-3,,,,,,,,
,,,,,,,,,,Arachnida,1573,2num_WoRMS,34,-0.365463972,,,Ostracoda,51,-3,,,,,,,,
,,,,,,,,,,Clitellata,965,2num_WoRMS,21,-0.439868382,,,Malacostraca,52,-3,,,,,,,,
,,,,,,,,,,Polychaeta,12022,2num_WoRMS,22,0.913239459,,,Thecostraca,53,-3,,,,,,,,
,,,,,,,,,,Hoplonemertea,675,2num_WoRMS,25,-0.475357328,,,Copepoda,54,-3,,,,,,,,
,,,,,,,,,,Pilidiophora,478,2num_WoRMS,24,-0.499465336,,,Remipedia,56,-3,,,,,,,,
,,,,,,,,,,Palaeonemertea,115,2num_WoRMS,23,-0.543887706,,,Cephalocarida,57,-3,,,,,,,,
,,,,,,,,,,Eurotatoria,142,2num_WoRMS,20,-0.540583563,,,Branchiopoda,55,-3,,,,,,,,
,,,,,,,,,,Gastropoda,37786,2num_WoRMS,27,4.066126355,,,Collembola,49,-3,,,,,,,,
,,,,,,,,,,Bivalvia,8350,2num_WoRMS,28,0.463875979,,,Insecta,50,-3,,,,,,,,
,,,,,,,,,,Polyplacophora,1028,2num_WoRMS,29,-0.432158715,,,Pycnogonida,44,3,,,,,,,,
,,,,,,,,,,Cephalopoda,823,2num_WoRMS,26,-0.457245728,,,Merostomata,45,3,,,,,,,,
,,,,,,,,,,Gymnolaemata,5623,2num_WoRMS,19,0.130157513,,,Arachnida,46,-3,,,,,,,,
,,,,,,,,,,Homoscleromorpha,126,2num_WoRMS,1,-0.542541574,,,Clitellata,26,3,,,,,,,,
,,,,,,,,,,Calcarea,793,2num_WoRMS,3,-0.460916998,,,Polychaeta,27,0,,,,,,,,
,,,,,,,,,,Demospongiae,7478,2num_WoRMS,2,0.357164391,,,Nemertea,28,3,,,,,,,,
,,,,,,,,,,Anthozoa,0.719327498,3prop_missing,4,-0.174410418,,,Rhynchonellata,29,3,,,,,,,,
,,,,,,,,,,Cubozoa,0.479166667,3prop_missing,6,-1.566519427,,,Lingulata,30,3,,,,,,,,
,,,,,,,,,,Hydrozoa,0.765322581,3prop_missing,7,0.092203289,,,Craniata,31,3,,,,,,,,
,,,,,,,,,,Scyphozoa,0.600896861,3prop_missing,5,-0.860901865,,,Eurotatoria,25,-3,,,,,,,,
,,,,,,,,,,Leptocardii,0.633333333,3prop_missing,8,-0.67288159,,,Monoplacophora,34,3,,,,,,,,
,,,,,,,,,,Ascidiacea,0.892638037,3prop_missing,9,0.830196212,,,Gastropoda,35,0,,,,,,,,
,,,,,,,,,,Elasmobranchii,0.354679803,3prop_missing,10,-2.288116217,,,Bivalvia,36,3,,,,,,,,
,,,,,,,,,,Reptilia,0.182795699,3prop_missing,12,-3.284454416,,,Polyplacophora,37,3,,,,,,,,
,,,,,,,,,,Actinopterygii,0.428665156,3prop_missing,11,-1.859254959,,,Caudofoveata,38,3,,,,,,,,
,,,,,,,,,,Sagittoidea,0.681818182,3prop_missing,13,-0.391835784,,,Solenogastres,39,-3,,,,,,,,
,,,,,,,,,,Crinoidea,0.751857355,3prop_missing,14,0.01415117,,,Scaphopoda,33,3,,,,,,,,
,,,,,,,,,,Holothuroidea,0.84105203,3prop_missing,15,0.531174323,,,Cephalopoda,32,-3,,,,,,,,
,,,,,,,,,,Echinoidea,0.735439289,3prop_missing,16,-0.081017294,,,Gymnolaemata,24,-3,,,,,,,,
,,,,,,,,,,Ophiuroidea,0.707061069,3prop_missing,17,-0.245513629,,,Homoscleromorpha,1,3,,,,,,,,
,,,,,,,,,,Asteroidea,0.751962323,3prop_missing,18,0.014759626,,,Hexactinellida,2,3,,,,,,,,
,,,,,,,,,,Enoplea,0.96054991,3prop_missing,30,1.223852124,,,Calcarea,4,3,,,,,,,,
,,,,,,,,,,Chromadorea,0.918486827,3prop_missing,31,0.980030529,,,Demospongiae,3,3,,,,,,,,
,,,,,,,,,,Heterotardigrada,0.901960784,3prop_missing,32,0.884236168,,,Anthozoa,5,3,,,,,,,,
,,,,,,,,,,Ostracoda,0.971664091,3prop_missing,36,1.288276246,,,Staurozoa,6,3,,,,,,,,
,,,,,,,,,,Malacostraca,0.818561385,3prop_missing,37,0.400805733,,,Cubozoa,8,3,,,,,,,,
,,,,,,,,,,Thecostraca,0.780602007,3prop_missing,38,0.180771548,,,Hydrozoa,9,3,,,,,,,,
,,,,,,,,,,Copepoda,0.915227774,3prop_missing,39,0.961139197,,,Scyphozoa,7,3,,,,,,,,
,,,,,,,,,,Insecta,0.740414833,3prop_missing,35,-0.052176205,,,Leptocardii,10,3,,,,,,,,
,,,,,,,,,,Pycnogonida,0.828020756,3prop_missing,33,0.455637637,,,Ascidiacea,11,3,,,,,,,,
,,,,,,,,,,Arachnida,0.936427209,3prop_missing,34,1.084023204,,,Elasmobranchii,12,-3,,,,,,,,
,,,,,,,,,,Clitellata,0.787564767,3prop_missing,21,0.221131673,,,Holocephali,13,-3,,,,,,,,
,,,,,,,,,,Polychaeta,0.845283647,3prop_missing,22,0.555703186,,,Reptilia,15,-3,,,,,,,,
,,,,,,,,,,Hoplonemertea,0.816296296,3prop_missing,25,0.387675988,,,Mammalia,16,-3,,,,,,,,
,,,,,,,,,,Pilidiophora,0.824267782,3prop_missing,24,0.433883263,,,Actinopterygii,14,-3,,,,,,,,
