"","i",""
"3804","Pachygrapsus transversus","111"
"3805","Percnon gibbesi","14"
"3806","Plagusia depressa","23"
"3807","Plagusia tuberculata","0"
"3808","Planes cyaneus","0"
"3809","Planes minutus","85"
"3810","Macrophthalmus (Macrophthalmus) graeffei","0"
"3811","Ocypode cursor","35"
"3812","Uca (Uca) tangeri","11"
"3813","Palicus caronii","3"
"3814","Asthenognathus atlanticus","13"
"3815","Nepinnotheres pinnotheres","7"
"3816","Pinnotheres ascidicola","0"
"3817","Pinnotheres Marioni","0"
"3818","Pinnotheres pectunculi","5"
"3819","Pinnotheres pisum","39"
"3820","Alpheopsis africana","0"
"3821","Alpheus dentipes","5"
"3822","Alpheus edwardsii","4"
"3823","Alpheus glaber","11"
"3824","Alpheus lobidens","62"
"3825","Alpheus macrocheles","24"
"3826","Alpheus migrans","0"
"3827","Alpheus platydactylus","2"
"3828","Alpheus rapacida","12"
"3829","Alpheus talismani","0"
"3830","Athanas amazone","0"
"3831","Athanas grimaldii","1"
"3832","Athanas nitescens","20"
"3833","Automate branchialis","0"
"3834","Salmoneus jarli","0"
"3835","Salmoneus sketi","0"
"3836","Synalpheus gambarelloides","3"
"3837","Synalpheus tumidomanus","6"
"3838","Bythocaris akidopleura","0"
"3839","Bythocaris curvirostris","0"
"3840","Bythocaris elegans","0"
"3841","Bythocaris grumanti","0"
"3842","Bythocaris leucopsis","0"
"3843","Bythocaris payeri","0"
"3844","Bythocaris simplicirostris","0"
"3845","Caridion gordoni","2"
"3846","Caridion steveni","4"
"3847","Cryptocheles pygmaea","0"
"3848","Eualus belcheri","0"
"3849","Eualus drachi","0"
"3850","Eualus gaimardii","34"
"3851","Eualus lebourae","0"
"3852","Eualus occultus","2"
"3853","Eualus pusiolus","4"
"3854","Hippolyte coerulescens","0"
"3855","Hippolyte garciarasoi","1"
"3856","Hippolyte holthuisi","3"
"3857","Hippolyte inermis","33"
"3858","Hippolyte lagarderei","0"
"3859","Hippolyte leptocerus","18"
"3860","Hippolyte leptometrae","0"
"3861","Hippolyte niezabitowskii","4"
"3862","Hippolyte prideauxiana","4"
"3863","Hippolyte sapphica","8"
"3864","Hippolyte varians","35"
"3865","Latreutes fucorum","73"
"3866","Lebbeus groenlandicus","39"
"3867","Lebbeus polaris","41"
"3868","Leontocaris lar","0"
"3869","Ligur ensiferus","10"
"3870","Lysmata grabhami","9"
"3871","Lysmata intermedia","13"
"3872","Lysmata nilita","1"
"3873","Lysmata olavoi","4"
"3874","Lysmata seticaudata","20"
"3875","Lysmata uncicornis","8"
"3876","Merhippolyte ancistrota","1"
"3877","Spirontocaris liljeborgii","20"
"3878","Spirontocaris phippsii","4"
"3879","Spirontocaris spinus","16"
"3880","Thor amboinensis","513"
"3881","Thoralus cranchii","38"
"3882","Thoralus sollaudi","0"
"3883","Trachycaris restricta","0"
"3884","Ogyrides mjoebergi","0"
"3885","Ogyrides rarispina","0"
"3886","Chorocaris chacei","183"
"3887","Mirocaris fortunata","115"
"3888","Rimicaris exoculata","2021"
"3889","Bresilia atlantica","0"
"3890","Bresilia corsicana","0"
"3891","Kirnasia nesisi","0"
"3892","Kirnasia siedlecki","0"
"3893","Bathypalaemonella serratipalma","9"
"3894","Aegaeon cataphractus","4"
"3895","Aegaeon lacazei","6"
"3896","Argis dentata","11"
"3897","Crangon allmanni","17"
"3898","Crangon crangon","744"
"3899","Metacrangon jacqueti","0"
"3900","Parapontophilus abyssi","0"
"3901","Parapontophilus gracilis","0"
"3902","Parapontophilus talismani","0"
"3903","Philocheras bispinosus","20"
"3904","Philocheras echinulatus","0"
"3905","Philocheras fasciatus","0"
"3906","Philocheras monacanthus","1"
"3907","Philocheras sculptus","7"
"3908","Philocheras trispinosus","6"
"3909","Pontophilus norvegicus","16"
"3910","Pontophilus spinosus","13"
"3911","Sabinea hystrix","7"
"3912","Sabinea sarsii","2"
"3913","Sabinea septemcarinata","17"
"3914","Sclerocrangon boreas","36"
"3915","Sclerocrangon ferox","0"
"3916","Glyphocrangon atlantica","0"
"3917","Glyphocrangon longirostris","0"
"3918","Glyphocrangon sculpta","0"
"3919","Nematocarcinus ensifer","5"
"3920","Nematocarcinus exilis","4"
"3921","Nematocarcinus gracilipes","0"
"3922","Nigmatullinus acanthitelsonis","1"
"3923","Cinetorhynchus rigens","9"
"3924","Acanthephyra brevirostris","1"
"3925","Acanthephyra curtirostris","63"
"3926","Acanthephyra eximea","44"
"3927","Acanthephyra pelagica","93"
"3928","Acanthephyra purpurea","257"
"3929","Acanthephyra stylorostratis","32"
"3930","Acanthephyra tenuipes","10"
"3931","Ephyrina benedicti","23"
"3932","Ephyrina bifida","5"
"3933","Ephyrina figueirai","44"
"3934","Heterogenys microphthalma","10"
"3935","Hymenodora acanthitelsonis","0"
"3936","Hymenodora glacialis","60"
"3937","Hymenodora gracilis","37"
"3938","Janicella spinicauda","26"
"3939","Kemphyra corallina","10"
"3940","Meningodora compsa","1"
"3941","Meningodora miccyla","11"
"3942","Meningodora mollis","42"
"3943","Meningodora vesca","20"
"3944","Notostomus crosnieri","0"
"3945","Notostomus distirus","0"
"3946","Notostomus elegans","57"
"3947","Notostomus robustus","11"
"3948","Oplophorus spinosus","35"
"3949","Systellaspis braueri","19"
"3950","Systellaspis cristata","19"
"3951","Systellaspis debilis","330"
"3952","Systellaspis pellucida","23"
"3953","Gnathophyllum americanum","30"
"3954","Gnathophyllum elegans","1"
"3955","Balssia gasti","0"
"3956","Balssia noeli","0"
"3957","Brachycarpus biunguiculatus","32"
"3958","Leander tenuicornis","47"
"3959","Palaemon adspersus","54"
"3960","Palaemon elegans","365"
"3961","Palaemon longirostris","125"
"3962","Palaemon serratus","144"
"3963","Palaemon xiphias","8"
"3964","Palaemonella atlantica","10"
"3965","Palaemonella rotumana","206"
"3966","Palaemonetes mesogenitor","0"
"3967","Palaemonetes varians","237"
"3968","Palaemonetes zariquieyi","16"
"3969","Periclimenes aegylios","4"
"3970","Periclimenes amethysteus","4"
"3971","Periclimenes calmani","0"
"3972","Periclimenes eleftherioui","0"
"3973","Periclimenes granulatus","0"
"3974","Periclimenes kornii","0"
"3975","Periclimenes sagittifer","4"
"3976","Periclimenes scriptus","10"
"3977","Periclimenes wirtzi","4"
"3978","Pontonia domestica","1"
"3979","Pontonia flavomaculata","0"
"3980","Pontonia pinnophylax","9"
"3981","Tuleariocaris neglecta","0"
"3982","Typton gnathophylloides","0"
"3983","Typton spongicola","2"
"3984","Bitias stocki","0"
"3985","Chlorotocus crassicornis","13"
"3986","Dichelopandalus bonnieri","12"
"3987","Heterocarpus ensifer","38"
"3988","Heterocarpus grimaldii","0"
"3989","Heterocarpus laevigatus","6"
"3990","Pandalina brevirostris","13"
"3991","Pandalina profunda","4"
"3992","Pandalus borealis","198"
"3993","Pandalus latirostris","60"
"3994","Pandalus montagui","67"
"3995","Pandalus propinqvus","14"
"3996","Physetocaris microphthalma","10"
"3997","Plesionika acanthonotus","68"
"3998","Plesionika antigai","3"
"3999","Plesionika edwardsii","50"
"4000","Plesionika ensis","11"
"4001","Plesionika geniculatus","0"
"4002","Plesionika gigliolii","0"
"4003","Plesionika heterocarpus","57"
"4004","Plesionika martia","44"
"4005","Plesionika narval","40"
"4006","Plesionika rossignoli","0"
"4007","Plesionika williamsi","9"
"4008","Stylopandalus richardi","14"
"4009","Eupasiphae gilesii","12"
"4010","Eupasiphae serrata","16"
"4011","Glyphus marsupialis","23"
"4012","Leptochela (Leptochela) aculeocaudata","0"
"4013","Leptochela (Leptochela) pugnax","0"
"4014","Parapasiphae compta","1"
"4015","Parapasiphae cristata","0"
"4016","Parapasiphae sulcatifrons","15"
"4017","Pasiphaea hoplocerca","2"
"4018","Pasiphaea liocerca","0"
"4019","Pasiphaea multidentata","20"
"4020","Pasiphaea sivado","36"
"4021","Pasiphaea tarda","26"
"4022","Psathyrocaris fragilis","6"
"4023","Psathyrocaris infirma","6"
"4024","Processa acutirostris","2"
"4025","Processa canaliculata","0"
"4026","Processa edulis","4"
"4027","Processa elegantula","0"
"4028","Processa intermedia","0"
"4029","Processa macrodactyla","0"
"4030","Processa macrophthalma","0"
"4031","Processa modica","17"
"4032","Processa nouveli","14"
"4033","Processa parva","0"
"4034","Processa pontica","0"
"4035","Processa robusta","0"
"4036","Stylodactylus serratus","2"
"4037","Polycheles crucifer","0"
"4038","Polycheles granulatus","0"
"4039","Polycheles typhlops","57"
"4040","Polycheles validus","0"
"4041","Stereomastis grimaldii","17"
"4042","Stereomastis nana","17"
"4043","Stereomastis sculpta","19"
"4044","Willemoesia forceps","12"
"4045","Willemoesia leptodactyla","17"
"4046","Palinurus elephas","162"
"4047","Palinurus mauritanicus","38"
"4048","Panulirus echinatus","57"
"4049","Panulirus ornatus","49046"
"4050","Panulirus regius","31"
"4051","Scyllarides latus","219"
"4052","Scyllarus arctus","61"
"4053","Scyllarus caparti","43"
"4054","Scyllarus posteli","10"
"4055","Scyllarus pygmaeus","26"
"4056","Spongicoloides evolutus","0"
"4057","Spongicoloides koehleri","0"
"4058","Spongicoloides profundus","0"
"4059","Odontozona addaia","4"
"4060","Odontozona edwardsi","2"
"4061","Odontozona minoica","0"
"4062","Richardina fredericii","0"
"4063","Richardina spinicincta","4"
"4064","Stenopus spinosus","5"
"4065","Axius stirhynchus","6"
"4066","Calocarides coronatus","8"
"4067","Levantocaris hornungae","0"
"4068","Calastacus laevis","0"
"4069","Calocaris macandreae","9"
"4070","Callianassa acanthura","3"
"4071","Callianassa candida","0"
"4072","Callianassa subterranea","23"
"4073","Callianassa truncata","3"
"4074","Callianassa tyrrhena","14"
"4075","Callianassa whitei","7"
"4076","Calliapagurops charcoti","4"
"4077","Calliax lobata","4"
"4078","Paraglypturus punica","0"
"4079","Gourretia denticulata","0"
"4080","Jaxea nocturna","9"
"4081","Gebiacantha talismani","0"
"4082","Upogebia deltaura","15"
"4083","Upogebia mediterranea","0"
"4084","Upogebia pusilla","17"
"4085","Upogebia stellata","3"
"4086","Upogebia tipica","0"
"4087","Sactosoma vitreum","0"
"4088","Amalosoma eddystonense","0"
"4089","Bonellia minor","0"
"4090","Bonellia suhmii","0"
"4091","Bonellia viridis","33"
"4092","Hamingia arctica","0"
"4093","Maxmuelleria aulacoferum","0"
"4094","Maxmuelleria faex","0"
"4095","Maxmuelleria gigas","0"
"4096","Maxmuelleria lankesteri","6"
"4097","Anelassorhynchus indivisus","0"
"4098","Anelassorhynchus semoni","0"
"4099","Ochetostoma erythrogrammon","12"
"4100","Thalassema arcassonense","0"
"4101","Thalassema elapsum","0"
"4102","Thalassema thalassema","2"
"4103","Echiurus abyssalis","0"
"4104","Echiurus echiurus","9"
"4105","Bodotria arenosa","0"
"4106","Bodotria armoricana","0"
"4107","Bodotria gibba","0"
"4108","Bodotria intermedia","0"
"4109","Bodotria pulchella","0"
"4110","Bodotria scorpioides","10"
"4111","Cyclaspis longicaudata","9"
"4112","Cyclaspoides sarsi","0"
"4113","Eocuma calmani","0"
"4114","Eocuma dollfusi","0"
"4115","Eocuma ferox","0"
"4116","Iphinoe acutirostris","0"
"4117","Iphinoe adriatica","0"
"4118","Iphinoe armata","0"
"4119","Iphinoe douniae","0"
"4120","Iphinoe elisae","0"
"4121","Iphinoe hupferi","0"
"4122","Iphinoe inermis","0"
"4123","Iphinoe maculata","0"
"4124","Iphinoe rhodaniensis","0"
"4125","Iphinoe serrata","7"
"4126","Iphinoe tenella","0"
"4127","Iphinoe trispinosa","3"
"4128","Bathycuma elongatum","0"
"4129","Cumopsis fagei","1"
"4130","Cumopsis goodsir","1"
"4131","Cumopsis longipes","0"
"4132","Vaunthompsonia cristata","1"
"4133","Ceratocuma horridum","0"
"4134","Cimmerius reticulatus","3"
"4135","Brachydiastylis resima","0"
"4136","Diastylis boecki","0"
"4137","Diastylis bradyi","6"
"4138","Diastylis charcoti","0"
"4139","Diastylis cornuta","9"
"4140","Diastylis dollfusi","0"
"4141","Diastylis echinata","10"
"4142","Diastylis edwardsii","7"
"4143","Diastylis glabra","0"
"4144","Diastylis goodsiri","9"
"4145","Diastylis jonesi","0"
"4146","Diastylis laevis","7"
"4147","Diastylis lepechini","0"
"4148","Diastylis lucifera","9"
"4149","Diastylis neapolitana","0"
"4150","Diastylis oxyrhyncha","0"
"4151","Diastylis polaris","6"
"4152","Diastylis rathkei","14"
"4153","Diastylis rugosa","1"
"4154","Diastylis scorpioides","1"
"4155","Diastylis spinulosa","4"
"4156","Diastylis stygia","12"
"4157","Diastylis tumida","10"
"4158","Diastyloides bacescoi","0"
"4159","Diastyloides biplicatus","10"
"4160","Diastyloides carpinei","0"
"4161","Diastyloides scaber","0"
"4162","Diastyloides serratus","16"
"4163","Diastylopsis bosphorica","0"
"4164","Ekleptostylis walkeri","0"
"4165","Ektonodiastylis nimia","0"
"4166","Leptostylis ampullacea","0"
"4167","Leptostylis longicaudata","0"
"4168","Leptostylis longimana","10"
"4169","Leptostylis macrura","4"
"4170","Leptostylis producta","0"
"4171","Leptostylis villosa","11"
"4172","Vemakylindrus charcoti","0"
"4173","Vemakylindrus doryphora","0"
"4174","Chalarostylis elegans","0"
"4175","Hemilamprops assimilis","5"
"4176","Hemilamprops cristatus","8"
"4177","Hemilamprops normani","0"
"4178","Hemilamprops pellucidus","0"
"4179","Hemilamprops roseus","4"
"4180","Hemilamprops uniplicatus","17"
"4181","Lamprops fasciatus","0"
"4182","Lamprops fuscatus","11"
"4183","Lamprops profundus","0"
"4184","Mesolamprops denticulatus","6"
"4185","Paralamprops orbicularis","0"
"4186","Platysympus tricarinatus","9"
"4187","Platysympus typicus","2"
"4188","Eudorella arctica","0"
"4189","Eudorella emarginata","308"
"4190","Eudorella gottliebi","0"
"4191","Eudorella gracilis","0"
"4192","Eudorella groenlandica","0"
"4193","Eudorella hirsuta","11"
"4194","Eudorella hispida","0"
"4195","Eudorella intermedia","0"
"4196","Eudorella nana","1"
"4197","Eudorella parvula","0"
"4198","Eudorella pusilla","2"
"4199","Eudorella spitzbergensis","0"
"4200","Eudorella truncatula","28"
"4201","Eudorellopsis deformis","0"
"4202","Campylaspis affinis","3"
"4203","Campylaspis africana","0"
"4204","Campylaspis alba","0"
"4205","Campylaspis bonetti","0"
"4206","Campylaspis caperata","0"
"4207","Campylaspis costata","8"
"4208","Campylaspis glabra","0"
"4209","Campylaspis globosa","4"
"4210","Campylaspis horrida","6"
"4211","Campylaspis horridoides","0"
"4212","Campylaspis intermedia","5"
"4213","Campylaspis jonesi","0"
"4214","Campylaspis laticarpa","0"
"4215","Campylaspis legendrei","0"
"4216","Campylaspis macrophthalma","5"
"4217","Campylaspis mauritanica","0"
"4218","Campylaspis nitens","0"
"4219","Campylaspis rostrata","0"
"4220","Campylaspis rubicunda","17"
"4221","Campylaspis serratipes","0"
"4222","Campylaspis squamifera","0"
"4223","Campylaspis sulcata","15"
"4224","Campylaspis undata","5"
"4225","Campylaspis verrucosa","2"
"4226","Campylaspis vitrea","0"
"4227","Cumella (Cumella) africana","0"
"4228","Cumella angustata","0"
"4229","Cumella (Cumella) carinata","0"
"4230","Cumella (Cumella) decipiens","0"
"4231","Cumella (Cumella) limicola","0"
"4232","Cumella (Cumella) pygmaea","0"
"4233","Cumella (Cumella) tarda","0"
"4234","Cumellopsis helgae","0"
"4235","Cumellopsis puritani","0"
"4236","Nannastacus brevicaudatus","0"
"4237","Nannastacus euxinicus","0"
"4238","Nannastacus turcicus","0"
"4239","Nannastacus unguiculatus","0"
"4240","Paracampylaspis platycarpus","0"
"4241","Platycuma candidum","0"
"4242","Platycuma hessleri","0"
"4243","Platycuma holti","0"
"4244","Platycuma sandersi","0"
"4245","Procampylaspis arguini","0"
"4246","Procampylaspis armata","0"
"4247","Procampylaspis bacescoi","0"
"4248","Procampylaspis bituberculata","0"
"4249","Procampylaspis bonnieri","0"
"4250","Procampylaspis lutensis","0"
"4251","Procampylaspis macronyx","0"
"4252","Procampylaspis mediterranea","0"
"4253","Procampylaspis thalassae","0"
"4254","Scherocumella longirostris","0"
"4255","Schizotrema atlanticum","0"
"4256","Styloptocuma gracillimum","0"
"4257","Fontainella mediterranea","0"
"4258","Petalosarsia declivis","5"
"4259","Pterocuma pectinatum","0"
"4260","Pterocuma rostratum","0"
"4261","Pterocuma sowinskyi","0"
"4262","Schizorhamphus eudorelloides","0"
"4263","Schizorhamphus scabriusculus","0"
"4264","Strauchia taurica","0"
"4265","Makrokylindrus (Adiastylis) insignis","0"
"4266","Makrokylindrus (Adiastylis) josephinae","0"
"4267","Makrokylindrus (Adiastylis) longicaudatus","0"
"4268","Makrokylindrus (Adiastylis) longipes","0"
"4269","Makrokylindrus (Adiastylis) serricauda","0"
"4270","Makrokylindrus (Adiastylis) tubulicauda","0"
"4271","Makrokylindrus (Makrokylindrus) aegaeus","0"
"4272","Makrokylindrus (Makrokylindrus) dubius","0"
"4273","Makrokylindrus (Makrokylindrus) spiniventris","0"
"4274","Leucon (Alytoleucon) pallidus","0"
"4275","Leucon (Crymoleucon) macrorhinus","0"
"4276","Leucon (Crymoleucon) noerrevangi","0"
"4277","Leucon (Crymoleucon) tener","0"
"4278","Leucon (Epileucon) longirostris","0"
"4279","Leucon (Epileucon) tenuirostris","0"
"4280","Leucon (Leucon) acutirostris","6"
"4281","Leucon (Leucon) fulvus","0"
"4282","Leucon (Leucon) mediterraneus","0"
"4283","Leucon (Leucon) nasica","14"
"4284","Leucon (Leucon) nasicoides","7"
"4285","Leucon (Leucon) nathorsti","8"
"4286","Leucon (Leucon) robustus","0"
"4287","Leucon (Leucon) serratus","0"
"4288","Leucon (Macrauloleucon) siphonatus","0"
"4289","Leucon (Macrauloleucon) spinulosus","0"
"4290","Pseudocuma (Pseudocuma) ciliatum","0"
"4291","Pseudocuma (Pseudocuma) gilsoni","0"
"4292","Pseudocuma (Pseudocuma) longicorne","1"
"4293","Pseudocuma (Pseudocuma) simile","4"
"4294","Pseudocuma (Stenocuma) graciloides","0"
"4295","Pseudocuma (Stenocuma) laeve","0"
"4296","Bentheuphausia amblyops","14"
"4297","Euphausia americana","10"
"4298","Euphausia brevis","34"
"4299","Euphausia gibboides","9"
"4300","Euphausia hanseni","0"
"4301","Euphausia hemigibba","36"
"4302","Euphausia krohnii","13"
"4303","Euphausia mutica","13"
"4304","Euphausia pseudogibba","5"
"4305","Meganyctiphanes norvegica","27032"
"4306","Nematobrachion boopis","12"
"4307","Nematobrachion flexipes","17"
"4308","Nematobrachion sexspinosum","13"
"4309","Nematoscelis atlantica","181"
"4310","Nematoscelis megalops","134"
"4311","Nematoscelis microps","76"
"4312","Nematoscelis tenella","59"
"4313","Nyctiphanes couchi","0"
"4314","Stylocheiron abbreviatum","27"
"4315","Stylocheiron affine","23"
"4316","Stylocheiron carinatum","20"
"4317","Stylocheiron elongatum","176"
"4318","Stylocheiron longicorne","9"
"4319","Stylocheiron maximum","14"
"4320","Stylocheiron robustum","5"
"4321","Stylocheiron suhmii","13"
"4322","Thysanoessa gregaria","245"
"4323","Thysanoessa inermis","543"
"4324","Thysanoessa longicaudata","5"
"4325","Thysanoessa parva","0"
"4326","Thysanoessa raschii","2274"
"4327","Thysanopoda acutifrons","4"
"4328","Thysanopoda aequalis","25"
"4329","Thysanopoda cornuta","4"
"4330","Thysanopoda cristata","7"
"4331","Thysanopoda egregia","0"
"4332","Thysanopoda microphthalma","0"
"4333","Thysanopoda monacantha","17"
"4334","Thysanopoda obtusifrons","24"
"4335","Thysanopoda pectinata","7"
"4336","Thysanopoda tricuspidata","31"
"4337","Adeonella calveti","6"
"4338","Adeonella polystomella","0"
"4339","Adeonellopsis distoma","0"
"4340","Adeonellopsis multiporosa","0"
"4341","Anarthropora monodon","0"
"4342","Reptadeonella insidiosa","0"
"4343","Reptadeonella violacea","1"
"4344","Aetea anguina","5"
"4345","Aetea lepadiformis","0"
"4346","Aetea ligulata","0"
"4347","Aetea longicollis","0"
"4348","Aetea sica","0"
"4349","Aetea truncata","0"
"4350","Ascosia pandora","0"
"4351","Fedora edwardsi","0"
"4352","Beania hirtissima","0"
"4353","Beania magellanica","6"
"4354","Beania mirabilis","1"
"4355","Beania robusta","0"
"4356","Beania thula","0"
"4357","Codonellina lacunata","0"
"4358","Hippomonavella borealis","0"
"4359","Hippoporina harmsworthi","0"
"4360","Hippoporina lineolifera","0"
"4361","Hippoporina pertusa","0"
"4362","Hippoporina reticulatopunctata","0"
"4363","Metroperiella lepralioides","0"
"4364","Pentapora fascialis","8"
"4365","Pentapora ottomulleriana","0"
"4366","Pseudoflustra anderssoni","0"
"4367","Pseudoflustra hincksi","0"
"4368","Pseudoflustra minima","0"
"4369","Pseudoflustra sinuosa","0"
"4370","Pseudoflustra solida","0"
"4371","Pseudoflustra virgula","0"
"4372","Schizomavella arrogata","0"
"4373","Schizomavella auriculata","1"
"4374","Schizomavella cristata","0"
"4375","Schizomavella cuspidata","0"
"4376","Schizomavella discoidea","0"
"4377","Schizomavella fischeri","0"
"4378","Schizomavella gautieri","0"
"4379","Schizomavella hastata","0"
"4380","Schizomavella hondti","0"
"4381","Schizomavella linearis","13"
"4382","Schizomavella mamillata","0"
"4383","Schizomavella marsupifera","0"
"4384","Schizomavella monoecensis","0"
"4385","Schizomavella neptuni","0"
"4386","Schizomavella ochracea","0"
"4387","Schizomavella porifera","0"
"4388","Schizomavella rudis","0"
"4389","Schizomavella sarniensis","0"
"4390","Schizomavella teresae","0"
"4391","Schizomavella triangularis","0"
"4392","Bryocryptella koehleri","0"
"4393","Bryocryptella torquata","0"
"4394","Cystisella saccata","0"
"4395","Marguetta pulchra","0"
"4396","Palmicellaria aviculifera","0"
"4397","Palmiskenea aquilonia","0"
"4398","Palmiskenea faroensis","0"
"4399","Palmiskenea lorea","0"
"4400","Palmiskenea plana","0"
"4401","Palmiskenea skenei","3"
"4402","Porella acutirostris","3"
"4403","Porella alba","0"
"4404","Porella belli","0"
"4405","Porella compressa","4"
"4406","Porella concinna","9"
"4407","Porella cymosa","0"
"4408","Porella groenlandica","0"
"4409","Porella laevis","0"
"4410","Porella minuta","0"
"4411","Porella patula","0"
"4412","Porella peristomata","0"
"4413","Porella princeps","0"
"4414","Porella proboscidea","1"
"4415","Porella smitti","0"
"4416","Porella struma","0"
"4417","Porella tubulata","0"
"4418","Porella turgidula","0"
"4419","Rhamphostomella argentea","0"
"4420","Rhamphostomella bilaminata","0"
"4421","Rhamphostomella costata","0"
"4422","Rhamphostomella hincksi","0"
"4423","Rhamphostomella ovata","3"
"4424","Rhamphostomella plicata","0"
"4425","Rhamphostomella radiatula","0"
"4426","Rhamphostomella scabra","0"
"4427","Rhamphostomella spinigera","0"
"4428","Bicellariella ciliata","10"
"4429","Bicellarina alderi","0"
"4430","Bugula aperta","0"
"4431","Bugula avicularia","0"
"4432","Bugula calathus","0"
"4433","Bugula flabellata","3"
"4434","Bugula fulva","5"
"4435","Bugula gautieri","0"
"4436","Bugula germanae","0"
"4437","Bugula gracilis","0"
"4438","Bugula harmsworthi","0"
"4439","Bugula neritina","5462"
"4440","Bugula plumosa","10"
"4441","Bugula prenanti","0"
"4442","Bugula purpurotincta","4"
"4443","Bugula simplex","12"
"4444","Bugula spicata","0"
"4445","Bugula stolonifera","45"
"4446","Bugula tricuspis","0"
"4447","Bugula turbinata","11"
"4448","Bugulella elegans","0"
"4449","Bugulella fragilis","0"
"4450","Corynoporella tenuis","0"
"4451","Dendrobeania decorata","0"
"4452","Dendrobeania elongata","0"
"4453","Dendrobeania fessa","0"
"4454","Dendrobeania fruticosa","1"
"4455","Dendrobeania murrayana","6"
"4456","Dendrobeania pseudomurrayana","0"
"4457","Dendrobeania quadridentata","0"
"4458","Dendrobeania sessilis","0"
"4459","Kinetoskias arborescens","0"
"4460","Kinetoskias smitti","0"
"4461","Nordgaardia cornucopioides","0"
"4462","Nordgaardia pusilla","0"
"4463","Uschakovia gorbunovi","0"
"4464","Coronellina fagei","2"
"4465","Alderina imbellis","4"
"4466","Ammatophora nodulosa","0"
"4467","Amphiblestrum auritum","9"
"4468","Amphiblestrum flemingii","0"
"4469","Amphiblestrum lyrulatum","0"
"4470","Amphiblestrum septentrionalis","0"
"4471","Amphiblestrum solidum","0"
"4472","Aplousina capriensis","0"
"4473","Aplousina filum","0"
"4474","Callopora craticula","3"
"4475","Callopora depressa","0"
"4476","Callopora discreta","0"
"4477","Callopora dumerilii","3"
"4478","Callopora lineata","8"
"4479","Callopora minuta","0"
"4480","Callopora rylandi","1"
"4481","Callopora whiteavesi","0"
"4482","Cauloramphus cymbaeformis","0"
"4483","Cauloramphus spiniferum","0"
"4484","Clavodesia biradiculata","0"
"4485","Copidozoum exiguum","0"
"4486","Copidozoum macilenta","0"
"4487","Copidozoum planum","0"
"4488","Copidozoum tenuirostre","0"
"4489","Crassimarginatella crassimarginata","0"
"4490","Crassimarginatella maderensis","0"
"4491","Crassimarginatella solidula","0"
"4492","Crassimarginatella tensa","0"
"4493","Doryporella reticulata","0"
"4494","Doryporella spathulifera","0"
"4495","Ellisina antarctica","0"
"4496","Ellisina gautieri","3"
"4497","Megapora ringens","0"
"4498","Parellisina curvirostris","0"
"4499","Ramphonotus gorbunovi","0"
"4500","Ramphonotus minax","0"
"4501","Rectonychocella disjuncta","0"
"4502","Retevirgula akdenizae","0"
"4503","Tegella arctica","1"
"4504","Tegella armifera","6"
"4505","Tegella kildinensis","0"
"4506","Tegella norvegica","0"
"4507","Tegella spitzbergensis","2"
"4508","Tegella unicornis","0"
"4509","Caberea boryi","4"
"4510","Caberea ellisii","7"
"4511","Notoplites damicornis","0"
"4512","Notoplites evocata","0"
"4513","Notoplites harmeri","0"
"4514","Notoplites jeffreysii","0"
"4515","Notoplites sibirica","0"
"4516","Notoplites smitti","0"
"4517","Scrupocellaria aegeensis","0"
"4518","Scrupocellaria arctica","0"
"4519","Scrupocellaria bertholleti","0"
"4520","Scrupocellaria delilii","0"
"4521","Scrupocellaria elongata","0"
"4522","Scrupocellaria incurvata","0"
"4523","Scrupocellaria inermis","0"
"4524","Scrupocellaria intermedia","0"
"4525","Scrupocellaria jolloisi","0"
"4526","Scrupocellaria maderensis","2"
"4527","Scrupocellaria reptans","0"
"4528","Scrupocellaria scabra","0"
"4529","Scrupocellaria scrupea","0"
"4530","Scrupocellaria scruposa","6"
"4531","Scrupocellaria spatulata","0"
"4532","Scupocellaria macrorhyncha","0"
"4533","Tricellaria gracilis","0"
"4534","Tricellaria inopinata","54"
"4535","Tricellaria peachii","0"
"4536","Tricellaria ternata","8"
"4537","Cellaria fistulosa","0"
"4538","Cellaria normani","0"
"4539","Cellaria salicornioides","3"
"4540","Cellaria sinuosa","0"
"4541","Euginoma reticulata","0"
"4542","Euginoma vermiformis","0"
"4543","Buffonellaria divergens","0"
"4544","Buskea billardi","0"
"4545","Buskea dichotoma","0"
"4546","Buskea nitida","0"
"4547","Buskea quincuncialis","0"
"4548","Cellepora pumicosa","12"
"4549","Celleporaria sardonica","0"
"4550","Celleporina caminata","0"
"4551","Celleporina canariensis","0"
"4552","Celleporina decipiens","0"
"4553","Celleporina hassallii","5"
"4554","Celleporina lucida","0"
"4555","Celleporina pygmaea","0"
"4556","Celleporina surcularis","0"
"4557","Celleporina tubulosa","0"
"4558","Celleporina ventricosa","5"
"4559","Lagenipora lepralioides","1"
"4560","Omalosecosa ramulosa","3"
"4561","Palmicellaria elegans","0"
"4562","Rhamphostomellina posidoniae","0"
"4563","Turbicellepora avicularis","3"
"4564","Turbicellepora boreale","0"
"4565","Turbicellepora camera","0"
"4566","Turbicellepora canaliculata","0"
"4567","Turbicellepora cantabra","0"
"4568","Turbicellepora coronopus","3"
"4569","Turbicellepora coronopusoida","0"
"4570","Turbicellepora crenulata","0"
"4571","Turbicellepora magnicostata","0"
