"","missArt","missAtl","missInd","missPac","missSouth"
"nb nominal spp",6405,46731,39669,69208,6986
"nb NS having CS",130,453,428,562,59
"mean nb CS/sp.with",3,3.22595078299776,3.34988179669031,3.18659420289855,3.64912280701754
"sd_nb CS/sp.with",1.76635217326557,2.70863880021656,3.15485689436297,2.84690451727708,3.70564833381891
"estim. missed Biol sp",260,1008.35570469799,1005.74940898345,1228.86594202899,156.298245614035
"count missed Biol sp",248,989,987,1197,149
"prop.m",0.0390097524381095,0.0211221054371866,0.0247266282791486,0.0174463461085899,0.0218834666712518
"prop.m2",0.037276416654141,0.0207250628667225,0.0242768595041322,0.0170016334067183,0.0208829712683952
