"","Total CS expected","Total not yet found","Proportion not yet found"
"Arctic",343.502475247525,213.502475247525,1.64232673267327
"Atlantic",1586.29771449981,1133.29771449981,2.50176095916073
"Indian",1284.19423644202,856.194236442024,2.00045382346267
"Pacific",1885.90457719162,1323.90457719162,2.35570209464701
"Southern",260.869620253165,201.869620253165,3.42151898734177
