SpeciesName
Hippocampus kuda
Lampris guttatus
Lethrinus olivaceus
Luciogobius guttatus
Lutjanus johnii
Macrodon ancylodon
Macrourus spp.
Moolgarda seheli
Mugil cephalus
Mugil curema
Mugil platanus
Muraenoclinus dorsalis
Naso caesius
Notolepis coatsi
Odontamblyopus lacepedii sensu lato
Ophthalmolycus amberensis
Parapercis lutevittata
Periophthalmus argentilineatus
Platycephalus indicus
Plectropomus leopardus
Pomacentrus coelestis
Pomacentrus micronesicus sp. nov.
Pseudochromis fuscus
Rypticus saponaceous
Sardinella gibbosa
Schindleria brevipinguis
Schindleria pietschmanni
Schindleria praematura
Scomberomorus commerson
Scorpis violaceus
Sebastes aleutianus
Sebastes inermis
Sebastes marinus
Sebastes mentella
Sebastes miniatus
Sebastes mystinus
Sebastes oculatus
Selar crumenophthalmus
Seriola lalandi
Seriolina nigrofasciata
Sillago analis
Solea solea
Sprattus antipodum
Starksia atlantica
Starksia lepicoelia
Starksia sluiteri
Symphurus leucochilus n. sp.
Symphurus thermophilus
Taenioides spp.
Trimma benjamini
Trimma cheni
Trimma emeryi
Trimma erdmanni
Trimma fangi
Trimma flammeum/macrophthalmus
Trimma group-F
Trimma hayashi
Trimma marinae
Trimma milta
Trimma nasa
Trimma naudei
Trimma okinawae
Trimma stobbsi
Trimma taylori
Trimma tevegae/gigantum/etc
Tripterygion tripteronotus
Uroconger lepturus
Botryllus niger
Ciona intestinalis
Ciona intestinalis
Cystodytes dellechiajei
Didemnum granulatum
Didemnum molle
Diplosoma listerianum
Herdmania momus
Pseudodistoma crucigaster
Pycnoclavella aurilucens
Pycnoclavella brava
Pycnoclavella communis
Pyura doppelgangera sp. nov.
Pyura stolonifera
Aetobatus narinari
Aetobatus narutobiei sp. nov.
Himantura leoparda
Myliobatis spp.
Orectolobus spp.
Raja clavata
Rhinobatos productus
Rhizoprionodon terraenovae
Sphyrna lewini
Squatina argentina
Squatina spp.
Asymmetron lucayanum
Eubalaena spp.
Neophocaena spp.
Sotalia
Sotalia spp.
Tursiops spp.
Aipysurus mosaicus
Enhydrina schistosa
Laticauda colubrina
Acropora cytherea
Acropora hyacinthus
Acropora spp.
Actinia ebhayiensis sp. nov
Actinia equina
Alcyonium coralloides
Anthopleura elegantissima
Anthopleura orientalis
Cladopsammia gracilis
Eunicea flexuosa
Heliopora coerulea
Hemicorallium laauense
Incrustatus niarchosi n. sp.
Metridium spp.
Montastraea annularis
Montipora digitata
Mussismilia hartii
Palythoa mizigama
Paragorgia arborea
Paramuricea spp.
Phymactis papillosa
Plexaura flexuosa
Plexaura kuna
Pocillopora damicornis
Porites evermanni
Sarcophyton glaucum
Seriatopora hystrix
Siderastrea radians
Sphenopus marsupialis
Stylophora pistillata
Aequorea taiwanensis
Aglaophenia pluma
Clytia spp.
Cordylophora spp.
Coryne pusilla
Cryptolaria pectinata
Diphasia margareta
Dynamena disticha
Eugymnanthea spp.
Hydractinia serrata
Hydractinia spp.
Lafoea dumosa
Lensia multicristata
Millepora spp.
Nemertesia antennina
Nemertesia belini
Physalia physalis
Plumularia setacea
Sertularella ellisii
Sertularella fusiformis
Sertularella mediterranea
Sertularia distans
Stylactis carcinicola
Stylactis inermis
Stylactis serrata
Thuiaria articulata
Turritopsis
Aurelia aurita
Aurelia labiata
Aurelia spp.
Aurelia spp.
Aurelia spp.
Cassiopea spp.
Cyanea tzetlinii sp. nov.
Drymonema spp.
Symbion americanus
Acanthaster planci
Asterias amurensis
Cryptasterina
Cryptasterina hystera
Echinaster spp.
Leptasterias hexactis
Leptasterias spp.
Linckia guildingi
Luidia quinaria
Marthasterias glacialis
Parvulastra (=patiriella) exigua
Patiriella pseudoexigua
Tosia australis
Zoroaster fulgens
Cenolia sp.
Phanogenia gracilis
Promachocrinus kerguelensis
Asthenosoma ijimai
Echinocardium cordatum
Echinometra mathaei
Echinometra oblonga
Echinometra spp.
Mellita sp.
Bohadschia marmorata
Holothuria spp.
Thyonella gemmata
Acrocnida brachiata
Acrocnida spp.
Amphipholis squamata
Clarkcoma sp.
Ophiactis abyssicola
Ophiactis savignyi
Ophioderma longicauda
Ophiomyxa vivipara
Ophionotus victoriae
Ophiothrix aristulata
Ophiothrix fragilis
Ophiothrix spp.
Ophiura ooplax
Xenotrichula intermedia
Saccoglossus spp.
Echinoderes sensibilis
Acar spp.
Atrina assimilis
Atrina exusta
Atrina pectinata
Atrina rigida
Bathymodiolus spp.
Brachidontes exustus
Brachidontes variabilis
Calyptogena pacifica
Calyptogena phaseoliformis
Carditamera bajaensis
Crassostrea spp.
Geukensia spp.
Hiatella arctica
Lasaea australis
Lithophaga spp.
Lyrodus pedicellatus
Macoma balthica
Mactra antiquata
Mactra corallina
Meretrix spp.
