Class	Value	Variable	Class_num	z_score
Arachnida	-2.332401533	Residuals	46	-4.358298232
Clitellata	-0.11547947	Residuals	26	-0.001761986
Polychaeta	5.624230682	Residuals	27	11.27750477
Nemertea	4.126710262	Residuals	28	8.33468504
Rhynchonellata	-1.539465767	Residuals	29	-2.800077733
Lingulata	-0.486922128	Residuals	30	-0.731694457
Craniata	-0.311342378	Residuals	31	-0.386657725
Eurotatoria	0.781546757	Residuals	25	1.761009624
Monoplacophora	-0.380892279	Residuals	34	-0.523332202
Gastropoda	-1.373258763	Residuals	35	-2.473459647
Bivalvia	0.525671238	Residuals	36	1.258181405
Polyplacophora	-1.445106771	Residuals	37	-2.614650201
Caudofoveata	-0.726926537	Residuals	38	-1.203333911
Solenogastres	-1.006679981	Residuals	39	-1.753085315
Scaphopoda	-1.428424842	Residuals	33	-2.58186807
Cephalopoda	1.606052763	Residuals	32	3.381269696
Gymnolaemata	-0.518830971	Residuals	24	-0.794399427
Homoscleromorpha	0.651047256	Residuals	1	1.504561363
Hexactinellida	-1.703556679	Residuals	2	-3.122537425
Calcarea	0.793948064	Residuals	4	1.785379783
Demospongiae	-1.677041324	Residuals	3	-3.070431351
Anthozoa	-4	Fertilization	5	-4
Staurozoa	-4	Fertilization	6	-4
Cubozoa	4	Fertilization	8	4
Hydrozoa	-4	Fertilization	9	-4
Scyphozoa	-4	Fertilization	7	-4
Leptocardii	-4	Fertilization	10	-4
Ascidiacea	0	Fertilization	11	0
Elasmobranchii	4	Fertilization	12	4
Holocephali	4	Fertilization	13	4
Reptilia	4	Fertilization	15	4
Mammalia	4	Fertilization	16	4
Actinopterygii	-4	Fertilization	14	-4
Sagittoidea	4	Fertilization	17	4
Enteropneusta	-4	Fertilization	18	-4
Crinoidea	-4	Fertilization	19	-4
Holothuroidea	-4	Fertilization	20	-4
Echinoidea	-4	Fertilization	21	-4
Ophiuroidea	-4	Fertilization	22	-4
Asteroidea	-4	Fertilization	23	-4
Enoplea	4	Fertilization	40	4
Chromadorea	4	Fertilization	41	4
Heterotardigrada	4	Fertilization	42	4
Eutardigrada	4	Fertilization	43	4
Diplopoda	4	Fertilization	47	4
Chilopoda	4	Fertilization	48	4
Ostracoda	4	Fertilization	51	4
Malacostraca	4	Fertilization	52	4
Thecostraca	4	Fertilization	53	4
Copepoda	4	Fertilization	54	4
Remipedia	4	Fertilization	57	4
Cephalocarida	4	Fertilization	58	4
Branchiopoda	4	Fertilization	56	4
Tantulocarida	4	Fertilization	55	4
Collembola	4	Fertilization	49	4
Insecta	4	Fertilization	50	4
Pycnogonida	-4	Fertilization	44	-4
Merostomata	-4	Fertilization	45	-4
Arachnida	4	Fertilization	46	4
Clitellata	-4	Fertilization	26	-4
Polychaeta	0	Fertilization	27	0
Nemertea	-4	Fertilization	28	-4
Rhynchonellata	-4	Fertilization	29	-4
Lingulata	-4	Fertilization	30	-4
Craniata	-4	Fertilization	31	-4
Eurotatoria	4	Fertilization	25	4
Monoplacophora	-4	Fertilization	34	-4
Gastropoda	0	Fertilization	35	0
Bivalvia	-4	Fertilization	36	-4
Polyplacophora	-4	Fertilization	37	-4
Caudofoveata	-4	Fertilization	38	-4
Solenogastres	4	Fertilization	39	4
Scaphopoda	-4	Fertilization	33	-4
Cephalopoda	4	Fertilization	32	4
Gymnolaemata	4	Fertilization	24	4
Homoscleromorpha	-4	Fertilization	1	-4
Hexactinellida	-4	Fertilization	2	-4
Calcarea	-4	Fertilization	4	-4
Demospongiae	-4	Fertilization	3	-4
Anthozoa	-4	Image	5	-4
Staurozoa	-4	Image	6	-4
Cubozoa	-4	Image	8	-4
Hydrozoa	-4	Image	9	-4
Scyphozoa	-4	Image	7	-4
Leptocardii	-4	Image	10	-4
Ascidiacea	-4	Image	11	-4
Elasmobranchii	4	Image	12	4
Holocephali	4	Image	13	4
Reptilia	4	Image	15	4
Mammalia	4	Image	16	4
Actinopterygii	4	Image	14	4
Sagittoidea	-4	Image	17	-4
Enteropneusta	-4	Image	18	-4
Crinoidea	-4	Image	19	-4
Holothuroidea	-4	Image	20	-4
Echinoidea	-4	Image	21	-4
Ophiuroidea	-4	Image	22	-4
Asteroidea	-4	Image	23	-4
Enoplea	-4	Image	40	-4
Chromadorea	-4	Image	41	-4
Heterotardigrada	-4	Image	42	-4
Eutardigrada	-4	Image	43	-4
Diplopoda	-4	Image	47	-4
Chilopoda	-4	Image	48	-4
Ostracoda	-4	Image	51	-4
Malacostraca	4	Image	52	4
Thecostraca	-4	Image	53	-4
Copepoda	-4	Image	54	-4
Remipedia	-4	Image	57	-4
Cephalocarida	-4	Image	58	-4
Branchiopoda	4	Image	56	4
Tantulocarida	-4	Image	55	-4
Collembola	-4	Image	49	-4
Insecta	4	Image	50	4
Pycnogonida	-4	Image	44	-4
Merostomata	4	Image	45	4
Arachnida	4	Image	46	4
Clitellata	-4	Image	26	-4
Polychaeta	-4	Image	27	-4
Nemertea	-4	Image	28	-4
Rhynchonellata	-4	Image	29	-4
Lingulata	-4	Image	30	-4
Craniata	-4	Image	31	-4
Eurotatoria	-4	Image	25	-4
Monoplacophora	-4	Image	34	-4
Gastropoda	4	Image	35	4
Bivalvia	-4	Image	36	-4
Polyplacophora	-4	Image	37	-4
Caudofoveata	-4	Image	38	-4
Solenogastres	-4	Image	39	-4
Scaphopoda	-4	Image	33	-4
Cephalopoda	4	Image	32	4
Gymnolaemata	-4	Image	24	-4
Homoscleromorpha	-4	Image	1	-4
Hexactinellida	-4	Image	2	-4
Calcarea	-4	Image	4	-4
Demospongiae	-4	Image	3	-4
Anthozoa	-4	Genitals	5	-4
Staurozoa	-4	Genitals	6	-4
Cubozoa	-4	Genitals	8	-4
Hydrozoa	-4	Genitals	9	-4
