Class	Value	Variable	Class_num	z-score
Gymnolaemata	7	3_nb_NS_withCS_ncbi	19	-0.287518138
Heterotardigrada	1	3_nb_NS_withCS_ncbi	32	-0.573746957
Holothuroidea	2	3_nb_NS_withCS_ncbi	15	-0.526042154
Homoscleromorpha	1	3_nb_NS_withCS_ncbi	1	-0.573746957
Hoplonemertea	10	3_nb_NS_withCS_ncbi	25	-0.144403729
Hydrozoa	19	3_nb_NS_withCS_ncbi	7	0.2849395
Insecta	1	3_nb_NS_withCS_ncbi	35	-0.573746957
Leptocardii	1	3_nb_NS_withCS_ncbi	8	-0.573746957
Malacostraca	68	3_nb_NS_withCS_ncbi	37	2.622474856
Ophiuroidea	10	3_nb_NS_withCS_ncbi	17	-0.144403729
Ostracoda	3	3_nb_NS_withCS_ncbi	36	-0.478337351
Palaeonemertea	3	3_nb_NS_withCS_ncbi	23	-0.478337351
Pilidiophora	1	3_nb_NS_withCS_ncbi	24	-0.573746957
Polychaeta	49	3_nb_NS_withCS_ncbi	22	1.716083595
Polyplacophora	1	3_nb_NS_withCS_ncbi	29	-0.573746957
Pycnogonida	2	3_nb_NS_withCS_ncbi	33	-0.526042154
Reptilia	3	3_nb_NS_withCS_ncbi	12	-0.478337351
Sagittoidea	2	3_nb_NS_withCS_ncbi	13	-0.526042154
Scyphozoa	3	3_nb_NS_withCS_ncbi	5	-0.478337351
Thecostraca	8	3_nb_NS_withCS_ncbi	38	-0.239813335
Actinopterygii	3.060606061	4_mean_Nb_CS_perCpx	11	-0.215256579
Anthozoa	2.634146341	4_mean_Nb_CS_perCpx	4	-0.398804603
Ascidiacea	3	4_mean_Nb_CS_perCpx	9	-0.241341393
Asteroidea	2.666666667	4_mean_Nb_CS_perCpx	18	-0.384807874
Bivalvia	2.892857143	4_mean_Nb_CS_perCpx	28	-0.287455619
Calcarea	3.333333333	4_mean_Nb_CS_perCpx	3	-0.097874913
Cephalopoda	2.904761905	4_mean_Nb_CS_perCpx	26	-0.282331816
Chromadorea	7.5	4_mean_Nb_CS_perCpx	31	1.69545609
Clitellata	3.75	4_mean_Nb_CS_perCpx	21	0.081458187
Copepoda	8	4_mean_Nb_CS_perCpx	39	1.91065581
Crinoidea	3.5	4_mean_Nb_CS_perCpx	14	-0.026141673
Demospongiae	2.5	4_mean_Nb_CS_perCpx	2	-0.456541114
Echinoidea	2.5	4_mean_Nb_CS_perCpx	16	-0.456541114
Elasmobranchii	2.888888889	4_mean_Nb_CS_perCpx	10	-0.289163554
Enoplea	2	4_mean_Nb_CS_perCpx	30	-0.671740834
Eurotatoria	15	4_mean_Nb_CS_perCpx	20	4.923451895
Gastropoda	3.536363636	4_mean_Nb_CS_perCpx	27	-0.010490784
Gymnolaemata	3.25	4_mean_Nb_CS_perCpx	19	-0.133741533
Heterotardigrada	2	4_mean_Nb_CS_perCpx	32	-0.671740834
Holothuroidea	2.333333333	4_mean_Nb_CS_perCpx	15	-0.528274354
Homoscleromorpha	4	4_mean_Nb_CS_perCpx	1	0.189058047
Hoplonemertea	3.272727273	4_mean_Nb_CS_perCpx	25	-0.123959728
Hydrozoa	3.163636364	4_mean_Nb_CS_perCpx	7	-0.170912394
Insecta	3	4_mean_Nb_CS_perCpx	35	-0.241341393
Leptocardii	3	4_mean_Nb_CS_perCpx	8	-0.241341393
Malacostraca	2.842105263	4_mean_Nb_CS_perCpx	37	-0.3092992
Ophiuroidea	2.851851852	4_mean_Nb_CS_perCpx	17	-0.305104274
Ostracoda	4	4_mean_Nb_CS_perCpx	36	0.189058047
Palaeonemertea	4	4_mean_Nb_CS_perCpx	23	0.189058047
Pilidiophora	1.5	4_mean_Nb_CS_perCpx	24	-0.886940554
Polychaeta	2.971962617	4_mean_Nb_CS_perCpx	22	-0.253408667
Polyplacophora	3	4_mean_Nb_CS_perCpx	29	-0.241341393
Pycnogonida	3	4_mean_Nb_CS_perCpx	33	-0.241341393
Reptilia	2	4_mean_Nb_CS_perCpx	12	-0.671740834
Sagittoidea	3	4_mean_Nb_CS_perCpx	13	-0.241341393
Scyphozoa	3.333333333	4_mean_Nb_CS_perCpx	5	-0.097874913
Thecostraca	NA	4_mean_Nb_CS_perCpx	38	NA
Actinopterygii	404	5_tot_BS_inCS	11	3.138654456
Anthozoa	108	5_tot_BS_inCS	4	0.406848372
Ascidiacea	48	5_tot_BS_inCS	9	-0.146896104
Asteroidea	40	5_tot_BS_inCS	18	-0.220728701
Bivalvia	81	5_tot_BS_inCS	28	0.157663358
Calcarea	10	5_tot_BS_inCS	3	-0.497600939
Cephalopoda	61	5_tot_BS_inCS	26	-0.026918134
Chromadorea	15	5_tot_BS_inCS	31	-0.451455566
Clitellata	15	5_tot_BS_inCS	21	-0.451455566
Copepoda	8	5_tot_BS_inCS	39	-0.516059088
Crinoidea	7	5_tot_BS_inCS	14	-0.525288163
Demospongiae	35	5_tot_BS_inCS	2	-0.266874074
Echinoidea	15	5_tot_BS_inCS	16	-0.451455566
Elasmobranchii	26	5_tot_BS_inCS	10	-0.349935746
Enoplea	2	5_tot_BS_inCS	30	-0.571433536
Eurotatoria	15	5_tot_BS_inCS	20	-0.451455566
Gastropoda	389	5_tot_BS_inCS	27	3.000218337
Gymnolaemata	26	5_tot_BS_inCS	19	-0.349935746
Heterotardigrada	2	5_tot_BS_inCS	32	-0.571433536
Holothuroidea	7	5_tot_BS_inCS	15	-0.525288163
Homoscleromorpha	4	5_tot_BS_inCS	1	-0.552975387
Hoplonemertea	36	5_tot_BS_inCS	25	-0.257644999
Hydrozoa	174	5_tot_BS_inCS	7	1.015967296
Insecta	3	5_tot_BS_inCS	35	-0.562204461
Leptocardii	3	5_tot_BS_inCS	8	-0.562204461
Malacostraca	270	5_tot_BS_inCS	37	1.901958459
Ophiuroidea	77	5_tot_BS_inCS	17	0.120747059
Ostracoda	12	5_tot_BS_inCS	36	-0.47914279
Palaeonemertea	8	5_tot_BS_inCS	23	-0.516059088
Pilidiophora	3	5_tot_BS_inCS	24	-0.562204461
Polychaeta	318	5_tot_BS_inCS	22	2.34495404
Polyplacophora	6	5_tot_BS_inCS	29	-0.534517238
Pycnogonida	18	5_tot_BS_inCS	33	-0.423768342
Reptilia	6	5_tot_BS_inCS	12	-0.534517238
Sagittoidea	9	5_tot_BS_inCS	13	-0.506830014
Scyphozoa	40	5_tot_BS_inCS	5	-0.220728701
Thecostraca	NA	5_tot_BS_inCS	38	NA
Actinopterygii	0.01133758	6_prop_withCS_ncbi	11	-0.860140363
Anthozoa	0.016109046	6_prop_withCS_ncbi	4	-0.682647117
Ascidiacea	0.057268722	6_prop_withCS_ncbi	9	0.848447154
Asteroidea	0.028871391	6_prop_withCS_ncbi	18	-0.207902044
Bivalvia	0.020626432	6_prop_withCS_ncbi	28	-0.514605353
Calcarea	0.042253521	6_prop_withCS_ncbi	3	0.289898335
Cephalopoda	0.022099448	6_prop_withCS_ncbi	26	-0.459810826
Chromadorea	0.008810573	6_prop_withCS_ncbi	31	-0.954142215
Clitellata	0.017964072	6_prop_withCS_ncbi	21	-0.613642209
Copepoda	0.033870968	6_prop_withCS_ncbi	39	-0.021923343
Crinoidea	0.01369863	6_prop_withCS_ncbi	14	-0.772311905
Demospongiae	0.013365735	6_prop_withCS_ncbi	2	-0.784695231
Echinoidea	0.016460905	6_prop_withCS_ncbi	16	-0.669558334
Elasmobranchii	0.011331445	6_prop_withCS_ncbi	10	-0.860368573
Enoplea	0.03125	6_prop_withCS_ncbi	30	-0.119420433
Eurotatoria	0.05	6_prop_withCS_ncbi	20	0.578058749
Gastropoda	0.019084903	6_prop_withCS_ncbi	27	-0.571948522
Gymnolaemata	0.041884817	6_prop_withCS_ncbi	19	0.276182942
Heterotardigrada	0.071428571	6_prop_withCS_ncbi	32	1.375177814
Holothuroidea	0.009950249	6_prop_withCS_ncbi	15	-0.911747531
Homoscleromorpha	0.035714286	6_prop_withCS_ncbi	1	0.046646039
