"","V1","V2"
"159","Chlidonias leucopterus","Chordata"
"160","Channichthys rhinoceratus","Chordata"
"161","Calidris ruficollis","Chordata"
"162","Nannocalanus minor","Arthropoda"
"163","Callorhinchus callorynchus","Chordata"
"164","Thalassarche cauta","Chordata"
"165","Pleuromamma robusta","Arthropoda"
"166","Dinoperca petersi","Chordata"
"167","Oncaea curvata","Arthropoda"
"168","Schroederichthys bivius","Chordata"
"169","Poliocephalus poliocephalus","Chordata"
"170","Dicathais orbita","Mollusca"
"171","Notolabrus fucicola","Chordata"
"172","Phalacrocorax varius","Chordata"
"173","Mustelus palumbes","Chordata"
"174","Phalacrocorax sulcirostris","Chordata"
"175","Prionace glauca","Chordata"
"176","Danielethus patagonicus","Arthropoda"
"177","Anas gracilis","Chordata"
"178","Microsetella rosea","Arthropoda"
"179","Pygoscelis antarcticus","Chordata"
"180","Pelecanus onocrotalus","Chordata"
"181","Anas superciliosa","Chordata"
"182","Phalacrocorax carbo","Chordata"
"183","Parvocalanus scotti","Arthropoda"
"184","Fregetta tropica","Chordata"
"185","Porcostoma dentata","Chordata"
"186","Euphausia frigida","Arthropoda"
"187","Nelusetta ayraud","Chordata"
"188","Leucoraja wallacei","Chordata"
"189","Cenolia trichoptera","Echinodermata"
"190","Pleuromamma borealis","Arthropoda"
"191","Electrona antarctica","Chordata"
"192","Microcalanus pygmaeus","Arthropoda"
"193","Acartia (Acartia) negligens","Arthropoda"
"194","Diplodus capensis","Chordata"
"195","Pterygotrigla polyommata","Chordata"
"196","Pelecanoides urinatrix","Chordata"
"197","Puffinus griseus","Chordata"
"198","Boopsoidea inornata","Chordata"
"199","Aphrodroma brevirostris","Chordata"
"200","Sepia hieronis","Mollusca"
"201","Acanthaluteres vittiger","Chordata"
"202","Jasus edwardsii","Arthropoda"
"203","Paraeuchaeta antarctica","Arthropoda"
"204","Otaria flavescens","Chordata"
"205","Polyamblyodon germanum","Chordata"
"206","Calocalanus pavo","Arthropoda"
"207","Microsetella norvegica","Arthropoda"
"208","Cephaloscyllium laticeps","Chordata"
"209","Peisos petrunkevitchi","Arthropoda"
"210","Pterodroma macroptera","Chordata"
"211","Mursia cristiata","Arthropoda"
"212","Helicolenus percoides","Chordata"
"213","Pachyptila salvini","Chordata"
"214","Lucicutia flavicornis","Arthropoda"
"215","Chlidonias hybrida","Chordata"
"216","Pictilabrus laticlavius","Chordata"
"217","Gracila albomarginata","Chordata"
"218","Diodon nicthemerus","Chordata"
"219","Lunella undulata","Mollusca"
"220","Sterna vittata","Chordata"
"221","Rexea solandri","Chordata"
"222","Diplodus hottentotus","Chordata"
"223","Neocalanus gracilis","Arthropoda"
"224","Metridia gerlachei","Arthropoda"
"225","Pterodroma mollis","Chordata"
"226","Pristiophorus nudipinnis","Chordata"
"227","Lepidonotothen squamifrons","Chordata"
"228","Tadorna tadornoides","Chordata"
"229","Paracaesio xanthura","Chordata"
"230","Elseyornis melanops","Chordata"
"231","Dipturus pullopunctatus","Chordata"
"232","Brama brama","Chordata"
"233","Malacocephalus laevis","Chordata"
"234","Tosia australis","Echinodermata"
"235","Oplegnathus woodwardi","Chordata"
"236","Nemadactylus bergi","Chordata"
"237","Todarodes angolensis","Mollusca"
"238","Temora turbinata","Arthropoda"
"239","Thalassarche chlororhynchos","Chordata"
"240","Centroberyx gerrardi","Chordata"
"241","Zanclistius elevatus","Chordata"
"242","Calidris ferruginea","Chordata"
"243","Austroglossus pectoralis","Chordata"
"244","Sterna paradisaea","Chordata"
"245","Calidris acuminata","Chordata"
"246","Cominella lineolata","Mollusca"
"247","Cottoperca gobio","Chordata"
"248","Clausocalanus furcatus","Arthropoda"
"249","Pachyptila belcheri","Chordata"
"250","Paracalanus indicus","Arthropoda"
"251","Mustelus schmitti","Chordata"
"252","Rostroraja alba","Chordata"
"253","Arctocephalus pusillus","Chordata"
"254","Pterodroma inexpectata","Chordata"
"255","Centriscops humerosus","Chordata"
"256","Pygoscelis papua","Chordata"
"257",NA,NA
"258","Sterna sandvicensis","Chordata"
"259",NA,NA
"260","Jasus lalandii","Arthropoda"
