"","V1","V2"
"131","Falsimohnia innocens","Mollusca"
"132","Swanomia membranacea","Bryozoa"
"133","Dissostichus eleginoides","Chordata"
"134","Abatus (Pseudabatus) nimrodi","Echinodermata"
"135","Trophonella longstaffi","Mollusca"
"136","Hormathia lacunifera","Cnidaria"
"137","Laternula elliptica","Mollusca"
"138","Tedania (Tedaniopsis) oxeata","Porifera"
"139","Acodontaster hodgsoni","Echinodermata"
"140","Amauropsis rossiana","Mollusca"
"141","Notasterias stolophora","Echinodermata"
"142","Notocrinus virilis","Echinodermata"
"143","Staurocucumis liouvillei","Echinodermata"
"144","Subonoba turqueti","Mollusca"
"145","Epimeria (Hoplepimeria) robusta","Arthropoda"
"146","Homalocidaris gigantea","Echinodermata"
"147","Dacrydium albidum","Mollusca"
"148","Novocrania lecointei","Brachiopoda"
"149","Ammothea clausi","Arthropoda"
"150","Synoicum adareanum","Chordata"
"151","Boroecia antipoda","Arthropoda"
"152","Clausocalanus furcatus","Arthropoda"
"153","Acodontaster conspicuus","Echinodermata"
"154","Ammothea glacialis","Arthropoda"
"155","Ophioplocus incipiens","Echinodermata"
"156","Oncaea curvata","Arthropoda"
"157","Paratyphlotanais armatus","Arthropoda"
"158","Glaciacantha dubium","Echinodermata"
"159","Polymastia invaginata","Porifera"
"160","Acodontaster capitatus","Echinodermata"
"161","Nicon maculata","Annelida"
"162","Clavularia frankliniana","Cnidaria"
"163","Pallenopsis vanhoeffeni","Arthropoda"
"164","Nototanais antarcticus","Arthropoda"
"165","Ophioplinthus martensi","Echinodermata"
"166","Themisto gaudichaudii","Arthropoda"
"167","Stylocordyla borealis","Porifera"
"168","Rossella villosa","Porifera"
"169","Trematomus scotti","Chordata"
"170","Nymphon charcoti","Arthropoda"
"171","Euphausia crystallorophias","Arthropoda"
"172","Leptychaster flexuosus","Echinodermata"
"173","Actinernus elongatus","Cnidaria"
"174","Hyperiella dilatata","Arthropoda"
"175","Philodina gregaria","Rotifera"
"176","Calyx arcuarius","Porifera"
"177","Perknaster densus","Echinodermata"
"178","Rossella nuda","Porifera"
"179","Fasciculipora ramosa","Bryozoa"
"180","Cellarinella nutti","Bryozoa"
"181","Amphiura joubini","Echinodermata"
"182","Yoldiella antarctica","Mollusca"
"183","Clausocalanus brevipes","Arthropoda"
"184","Abatus shackletoni","Echinodermata"
"185","Lophaster gaini","Echinodermata"
"186","Notocidaris platyacantha","Echinodermata"
"187","Glyphoperidium bursa","Cnidaria"
"188","Myxilla (Myxilla) mollis","Porifera"
"189","Pareledone charcoti","Mollusca"
"190","Kerguelenatica delicatula","Mollusca"
"191","Sterechinus diadema","Echinodermata"
"192","Isodictya lankesteri","Porifera"
"193","Solaster regularis","Echinodermata"
"194","Maxilliphimedia longipes","Arthropoda"
"195","Rhynchothorax australis","Arthropoda"
"196","Trematomus lepidorhinus","Chordata"
"197","Philomedes assimilis","Arthropoda"
"198","Megaptera novaeangliae","Chordata"
"199","Pedicellaster hypernotius","Echinodermata"
"200","Trematomus newnesi","Chordata"
"201","Laonice weddellia","Annelida"
"202","Phorbas glaberrimus","Porifera"
"203","Amphiura belgicae","Echinodermata"
"204","Ophiosteira echinulata","Echinodermata"
"205","Pyura bouvetensis","Chordata"
"206","Antarctoneptunea aurora","Mollusca"
"207","Limopsis lilliei","Mollusca"
"208","Trophonella shackletoni","Mollusca"
"209","Acanthorhabdus fragilis","Porifera"
"210","Cirsonella extrema","Mollusca"
"211","Lepidonotothen squamifrons","Chordata"
"212","Rhynchocidaris triplopora","Echinodermata"
"213","Antarcticaetos bubeccata","Bryozoa"
"214","Latrunculia (Latrunculia) biformis","Porifera"
"215","Pareledone aequipapillae","Mollusca"
"216","Haliclona (Rhizoniera) dancoi","Porifera"
"217","Fulmarus glacialoides","Chordata"
"218","Trematomus eulepidotus","Chordata"
"219","Isotealia antarctica","Cnidaria"
"220","Isodictya kerguelenensis","Porifera"
"221","Ophiura flexibilis","Echinodermata"
"222","Harpovoluta charcoti","Mollusca"
"223","Lissotesta minutissima","Mollusca"
"224","Latrunculia (Latrunculia) apicalis","Porifera"
"225","Lysasterias adeliae","Echinodermata"
"226","Umbellula magniflora","Cnidaria"
"227","Florometra mawsoni","Echinodermata"
"228","Cumella (Cumella) australis","Arthropoda"
"229","Macrourus whitsoni","Chordata"
"230","Prosipho mundus","Mollusca"
"231","Eusirus perdentatus","Arthropoda"
"232","Pseudosagitta gazellae","Chaetognatha"
"233","Liponema multiporum","Cnidaria"
"234","Ophiosteira antarctica","Echinodermata"
"235","Notolepis coatsi","Chordata"
"236","Molpadiodemas crinitus","Echinodermata"
"237","Aulactinia sulcata","Cnidaria"
"238","Epimeria (Drakepimeria) macrodonta","Arthropoda"
"239","Pycnogonum gaini","Arthropoda"
"240","Eminooecia carsonae","Bryozoa"
"241","Probuccinum tenerum","Mollusca"
"242","Pallenopsis hodgsoni","Arthropoda"
