"","scientificName","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonomicStatus","namePublishedInYear","scientificNameAuthorship","acceptedNameUsage","Npol","Ntemp","Trop","Stemp","Spol","nb_zones","range_long_r100","range_lat_r100","CHull_r100","NbSitesUsed_r100","hasCS","hasRIOK","hasCSss","has1cpa","SimplifiedName","ncbi","mito","dna","mitonuc","dupSN","yearb","gs","phylum_class","area"
"41","Hippocampus kuda","Chordata","Actinopterygii","Syngnathiformes","Syngnathidae","Hippocampus","","kuda",NA,"accepted","","Bleeker, 1852","Hippocampus kuda",FALSE,TRUE,TRUE,TRUE,FALSE,3,288.534289,84.727,196676435,100,TRUE,FALSE,FALSE,TRUE,"Hippocampus kuda",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1852,47,"ChordataActinopterygii","11"
"42","Lyrodus pedicellatus","Mollusca","Bivalvia","Myida","Teredinidae","Lyrodus","","pedicellatus",NA,"accepted","","(Quatrefages, 1849)","Lyrodus pedicellatus",FALSE,TRUE,TRUE,TRUE,FALSE,3,302.678553,90.05307,197277246.1,100,TRUE,FALSE,TRUE,TRUE,"Lyrodus pedicellatus",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1849,11,"MolluscaBivalvia","11"
"43","Macrorhynchia philippina","Cnidaria","Hydrozoa","Leptothecata","Aglaopheniidae","Macrorhynchia","","philippina",NA,"accepted","","Kirchenpauer, 1872","Macrorhynchia philippina",FALSE,TRUE,TRUE,TRUE,FALSE,3,288.368247,69.5833,137765552.9,100,TRUE,TRUE,FALSE,FALSE,"Macrorhynchia philippina",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1872,26,"CnidariaHydrozoa","8"
"44","Marenzelleria viridis","Annelida","Polychaeta","Spionida","Spionidae","Marenzelleria","","viridis",NA,"accepted","","(Verrill, 1873)","Marenzelleria viridis",TRUE,TRUE,FALSE,FALSE,FALSE,2,150.3387988,38.70857025,48817363.71,100,TRUE,TRUE,FALSE,TRUE,"Marenzelleria viridis",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1873,6,"AnnelidaPolychaeta","3"
"45","Membranipora membranacea","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora","","membranacea",NA,"accepted","","(Linnaeus, 1767)","Membranipora membranacea",FALSE,TRUE,TRUE,TRUE,FALSE,3,78.52163,17.15405,22022445.71,100,TRUE,FALSE,FALSE,TRUE,"Membranipora membranacea",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1767,11,"BryozoaGymnolaemata","2"
"46","Mytilus edulis","Mollusca","Bivalvia","Mytilida","Mytilidae","Mytilus","","edulis",NA,"accepted","1758","Linnaeus, 1758","Mytilus edulis",TRUE,TRUE,TRUE,TRUE,FALSE,4,87.41061477,114.63076,171596090.7,100,TRUE,TRUE,FALSE,TRUE,"Mytilus edulis",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1758,8,"MolluscaBivalvia","10"
"47","Myxicola infundibulum","Annelida","Polychaeta","Sabellida","Sabellidae","Myxicola","","infundibulum",NA,"accepted","","(Montagu, 1808)","Myxicola infundibulum",TRUE,TRUE,FALSE,TRUE,FALSE,3,222.7849968,102.3269667,160180391.5,100,TRUE,FALSE,FALSE,FALSE,"Myxicola infundibulum",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1808,8,"AnnelidaPolychaeta","9"
"48","Naucrates ductor","Chordata","Actinopterygii","Perciformes","Carangidae","Naucrates","","ductor",NA,"accepted","","(Linnaeus, 1758)","Naucrates ductor",FALSE,TRUE,TRUE,TRUE,FALSE,3,294.7435447,91.71288084,222453256.7,100,TRUE,FALSE,FALSE,FALSE,"Naucrates ductor",TRUE,TRUE,"mito",FALSE,FALSE,1758,1,"ChordataActinopterygii","12"
"49","Nemipterus japonicus","Chordata","Actinopterygii","Perciformes","Nemipteridae","Nemipterus","","japonicus",NA,"accepted","","(Bloch, 1791)","Nemipterus japonicus",FALSE,TRUE,TRUE,TRUE,FALSE,3,88.21250153,54.59499944,43893246.13,100,TRUE,FALSE,FALSE,TRUE,"Nemipterus japonicus",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1791,26,"ChordataActinopterygii","3"
"50","Neomysis americana","Arthropoda","Malacostraca","Mysida","Mysidae","Neomysis","","americana",NA,"accepted","","(S.I. Smith, 1873)","Neomysis americana",FALSE,TRUE,FALSE,TRUE,FALSE,2,49.5334,81.65,24066316.85,100,TRUE,FALSE,FALSE,FALSE,"Neomysis americana",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1873,15,"ArthropodaMalacostraca","2"
"51","Ommastrephes bartramii","Mollusca","Cephalopoda","Oegopsida","Ommastrephidae","Ommastrephes","","bartramii",NA,"accepted","","(Lesueur, 1821)","Ommastrephes bartramii",FALSE,TRUE,TRUE,TRUE,FALSE,3,260.9375,101.689031,180762356.6,100,TRUE,FALSE,FALSE,TRUE,"Ommastrephes bartramii",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1821,4,"MolluscaCephalopoda","10"
"52","Ophiactis savignyi","Echinodermata","Ophiuroidea","Amphilepidida","Ophiactidae","Ophiactis","","savignyi",NA,"accepted","","(Müller & Troschel, 1842)","Ophiactis savignyi",FALSE,TRUE,TRUE,TRUE,FALSE,3,312.2849996,73.23633176,150657346.4,100,TRUE,FALSE,FALSE,FALSE,"Ophiactis savignyi",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1842,51,"EchinodermataOphiuroidea","9"
"53","Oratosquilla oratoria","Arthropoda","Malacostraca","Stomatopoda","Squillidae","Oratosquilla","","oratoria",NA,"accepted","1833-1850","(De Haan, 1844)","Oratosquilla oratoria",FALSE,TRUE,TRUE,TRUE,FALSE,3,144.5953674,76.95843842,59227354.66,100,TRUE,TRUE,FALSE,TRUE,"Oratosquilla oratoria",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1844,3,"ArthropodaMalacostraca","4"
"54","Ostrea edulis","Mollusca","Bivalvia","Ostreida","Ostreidae","Ostrea","","edulis",NA,"accepted","1758","Linnaeus, 1758","Ostrea edulis",TRUE,TRUE,TRUE,FALSE,FALSE,3,161.81692,43.48211433,64178132.47,100,TRUE,TRUE,TRUE,TRUE,"Ostrea edulis",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1758,18,"MolluscaBivalvia","4"
"55","Palaemon elegans","Arthropoda","Malacostraca","Decapoda","Palaemonidae","Palaemon","","elegans",NA,"accepted","1836","Rathke, 1836","Palaemon elegans",FALSE,TRUE,TRUE,FALSE,FALSE,2,39.935697,29.152925,6590644.683,100,TRUE,FALSE,FALSE,TRUE,"Palaemon elegans",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1836,56,"ArthropodaMalacostraca","1"
"56","Pampus argenteus","Chordata","Actinopterygii","Perciformes","Stromateidae","Pampus","","argenteus",NA,"accepted","","(Euphrasen, 1788)","Pampus argenteus",FALSE,TRUE,TRUE,TRUE,FALSE,3,235.4488,35.65033,37356452.4,100,TRUE,FALSE,FALSE,TRUE,"Pampus argenteus",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1788,6,"ChordataActinopterygii","3"
