"","missNpol","missNtemp","missTrop","missStemp","missSpol"
"nb nominal spp",2045,19778,21187,11917,1063
"nb NS having CS",105,588,560,405,38
"mean nb CS/sp.with",2.96153846153846,3.14072847682119,3.1637323943662,3.30528846153846,3.8
"sd_nb CS/sp.with",1.78952223880189,2.53435370897055,2.58259432588056,3.04513373017701,4.27395211328656
"estim. missed Biol sp",205.961538461538,1258.74834437086,1211.69014084507,933.641826923077,106.4
"count missed Biol sp",200,1285,1219,954,110
"prop.m",0.0914993592481845,0.0598356896115879,0.0540964731966847,0.0726533226509376,0.0909868308534291
"prop.m2",0.089086859688196,0.0610074538289892,0.0544050700705168,0.0741201149871805,0.0937766410912191
