203	-1	-0.021779907
1524	0	7.800965672
64	1	-3.26761591
27	1	-3.019835901
3	1	-3.011326628
6	1	-3.019853609
7	1	-3.025504299
734	1	2.902459921
3	1	-3.011184372
5275	1	-4.869781611
4	-1	-3.01122822
104	1	-1.604099711
160	-1	-1.796296332
17	1	-3.022050056
0	1	-3.023767121
319	1	1.829685224
3	-1	-3.011326628
3	-1	-3.042113972
37	-1	-3.213000259
215	1	1.584091411
29	1	-1.46307454
9157	-1	0.433047715
267	0	2.78897481
761	1	2.012169474
32	1	-3.021577987
130	1	0.146610807
76	1	-0.816618121
1749	-1	3.381123073
22	1	-3.042534517
796	-1	5.800622103
67	-1	1.260633935
24	NA	-3.025024516
422	-1	3.058730954
137	-1	-0.925514668
571	-1	2.70731217
1263	-1	3.915866978
18	-1	-3.039829226
400	1	2.580294233
5	-1	-3.012742411
210	-1	-2.216757029
14	-1	-3.102691796
12	1	-3.081965195
4888	0	2.174559406
160	1	-2.092085205
30	1	-2.355664923
225	-1	4.475582172
6	-1	-1.901903385
679	-1	-1.924631685
72	-1	-3.137141921
21	1	-2.052601146
1	1	-3.016449545
