"","Var1","Freq"
"1","",5
"2","Ascidiacea",10
"3","Asteroidea",2
"4","Bivalvia",6
"5","Cephalopoda",3
"6","Copepoda",4
"7","Demospongiae",1
"8","Elasmobranchii",1
"9","Gastropoda",9
"10","Gymnolaemata",4
"11","Hexacorallia",4
"12","Hydrozoa",13
"13","Malacostraca",10
"14","Ophiuroidea",1
"15","Palaeonemertea",1
"16","Polychaeta",23
"17","Scyphozoa",2
"18","Teleostei",25
"19","Thecostraca",2
