203	-1	0.145385069
1524	0	7.930102688
64	1	-3.150988446
27	1	-2.904096964
3	1	-2.895789357
6	1	-2.904295356
7	1	-2.910012121
734	1	3.065807479
3	1	-2.895651646
396	1	-2.238266733
5275	1	-5.08278229
4	-1	-2.895697004
104	1	-1.450381581
160	-1	-1.654167418
17	1	-2.906454014
0	1	-2.908309628
319	1	2.016331687
3	-1	-2.895789357
3	-1	-2.926816276
37	-1	-3.098406756
215	1	1.776085144
29	1	-1.318928045
9157	-1	0.486101034
267	0	2.988809937
761	1	2.208468357
32	1	-2.905798085
11	-1	-1.879420228
130	1	0.314242407
76	1	-0.662439157
1749	-1	3.554341695
22	1	-2.927035021
796	-1	6.032950023
67	-1	1.439718049
24	NA	-2.909354293
422	-1	3.264728618
137	-1	-0.771325787
236	-1	0.470999607
241	-1	-0.982667391
571	-1	2.911974823
26	-1	-1.931600207
1263	-1	4.07197405
18	-1	-2.924159041
400	1	2.779517754
5	-1	-2.897165742
210	-1	-2.080328728
14	-1	-2.986771438
12	1	-2.96643264
4888	0	2.34643261
160	1	-1.971378429
30	1	-2.221995086
225	-1	4.69472
6	-1	-1.781007902
679	-1	-1.872361414
72	-1	-3.020837929
45	-1	-1.222678685
21	1	-1.917458155
1	1	-2.900985113
5	1	-1.995441098
