9157	1	0.337412028
11	1	-1.313817694
1749	1	3.861271791
64	-1	-2.674670645
267	0	3.897028834
422	1	4.216822983
521	-1	-2.60536031
1263	1	4.165477933
27	-1	-2.430212604
215	-1	2.813993315
6	1	-1.92642703
18	1	-2.453109396
3	-1	-2.423524567
400	-1	3.64756582
6	-1	-2.43275589
761	-1	3.067548536
160	-1	-2.008535121
7	-1	-2.441164834
3	1	-2.423524567
137	1	-0.115385007
22	-1	-2.461885148
679	1	-3.332723506
3	-1	-2.423505317
236	1	1.177409971
30	-1	-1.678893579
26	1	-1.379813496
21	-1	-1.358170996
1	-1	-2.431138834
769	-1	4.771357787
5	-1	-1.465961992
72	1	-2.547617196
203	1	0.868397065
241	1	-0.313347171
45	1	-0.607369081
796	1	7.115711987
396	-1	-1.656510533
3	1	-2.464870442
5275	-1	-4.196748276
130	-1	1.025672484
734	-1	3.653777842
4	1	-2.423741637
5	1	-2.424176937
117	1	3.890641728
571	1	3.883421858
104	-1	-0.642344068
1524	0	7.715252261
210	1	-1.501039199
160	1	-1.113285903
17	-1	-2.435598731
37	1	-2.676495145
29	-1	-0.746289249
14	1	-2.513575211
67	1	2.154590152
12	-1	-2.502644223
