Species
Bonnemaisonia hamifera
Bostrycapulus odites
Botrylloides anceps
Botrylloides diegensis
Botrylloides giganteus
Botrylloides leachii
Botrylloides niger
Botrylloides violaceus
Botryllus gaiae
Botryllus schlosseri
Botryocladia madagascariensis
Botryocladia wrightii
Botrytella micromora
Botrytella parva
Botrytella sp.
Bougainvillia macloviana
Bougainvillia megas
Bougainvillia muscus
Bougainvillia rugosa
Brachidontes exustus
Brachidontes pharaonis
Brachynotus sexdentatus
Branchiodrilus hortensis
Branchiomma bairdi
Branchiomma boholense
Branchiomma bombyx
Branchiomma luctuosum
Branchiura sowerbyi
Brania arminii
Branta canadensis
Bregmaceros atlanticus
Bregmaceros nectabanus
Bryopsis hypnoides
Bryopsis pennata
Bryopsis plumosa
Bugula avirostris
Bugula neritina
Bugulina avicularia
Bugulina calathus
Bugulina flabellata
Bugulina fulva
Bugulina simplex
Bugulina stolonifera
Bulinus contortus
Bulla ampulla
Bulla arabica
Bursatella leachii
Bythocaris cosmetops
Calanopia elliptica
Calanopia media
Calanopia minor
Calanus euxinus
Calappa hepatica
Calappa pelii
Caligus pageti
Calliblepharis rammediorum
Callinectes danae
Callinectes sapidus
Callionymus filamentosus
Calliostoma zizyphinum
Callista florida
Callyspongia pergamentacea
Callyspongia siphonella
Calocalanus plumulosus
Caloria indica
Calyptospadix cerulea
Calyptraea chinensis
Campanularia morgansi
Canarium mutabile
Cancer irroratus
Cantharus tranquebaricus
Canthidermis sufflamen
Caprella equilibra
Caprella mutica
Caprella penantis
Caprella scaura
Caranx crysos
Carassius auratus
Carassius gibelio
Carbosphaerella leptosphaerioides
Carcinus maenas
Cardites akabana
Carpobrotus acinaciformis
Carupa tenuipes
Cassiopea andromeda
Catostomus catostomus
Caulacanthus okamurae
Caulacanthus ustulatus
Caulerpa chemnitzia
Caulerpa cylindracea
Caulerpa denticulata
Caulerpa mexicana
Caulerpa prolifera
Caulerpa racemosa
Caulerpa racemosa var. lamourouxii f. requienii
Caulerpa scalpelliformis
Caulerpa taxifolia
Caulerpa taxifolia var. distichophylla
Caulerpa webbiana
Caulibugula arcasounensis
Caulibugula zanzibarensis
Cellana radiata
Cellana rota
Celleporaria albirostris
Celleporaria aperta
Celleporaria brunnea
Celleporaria inaudita
Celleporaria pilaefera
Celleporaria vermiformis
Celleporella carolinensis
Celleporella hyalina
Celtodoryx ciocalyptoides
Centroceras clavulatum
Centropages furcatus
Cephalothrix simula
Ceramium botryocarpum
Ceramium cimbricum
Ceramium cingulatum
Ceramium circinatum
Ceramium graecum
Ceramium strobiliforme
Ceramium sungminbooi
Ceramium tenuicorne
Ceramium virgatum
Cerastoderma edule
Ceratonereis mirabilis
Cercopagis (Cercopagis) pengoi
Cereus pedunculatus
Cerithidium diplax
Cerithidium perparvulum
Cerithiopsis pulvis
Cerithiopsis tenthrenois
Cerithium columna
Cerithium egenum
Cerithium litteratum
Cerithium nesioticum
Cerithium scabridum
Chaetoceros aequatorialis
Chaetoceros circinalis
Chaetoceros concavicornis
Chaetoceros diversus var. papilionis
Chaetoceros lorenzianus
Chaetoceros peruvianus
Chaetoceros rostratus
Chaetoceros throndsenii
Chaetoceros tortissimus
Chaetodipterus faber
Chaetodon auriga
Chaetodon austriacus
Chaetodon larvatus
Chaetogammarus ischnus
Chaetogammarus warpachowskyi
Chaetomorpha aerea
Chaetomorpha capillaris
Chaetomorpha linum
Chaetopleura angulata
Chaetozone corona
Chalinula loosanoffi
Chama asperella
Chama brassica
Chama gryphoides
Chama pacifica
Chama sp.
Champsodon nudivittis
Channa argus
Chanos chanos
Chara connivens
Charybdis (Charybdis) feriata
Charybdis (Charybdis) hellerii
Charybdis (Charybdis) japonica
Charybdis (Charybdis) lucifera
Charybdis (Goniohellenus) longicollis
Chattonella marina
Chattonella marina var. antiqua
Cheilodipterus novemstriatus
Cheilopogon cyanopterus
Chelicorophium curvispinum
Chelicorophium robustum
Chelidonichthys lucerna
Chelon haematocheilus
Chelon labrosus
Cherax destructor
Chilomycterus reticulatus
Chionoecetes opilio
Chiton (Tegulaplax) hululensis
Chiton cumingsii
Chlamys lischkei
Chlorurus rhakoura
Chondracanthus sp.
Chondria arcuata
Chondria coerulescens
Chondria collinsiana
Chondria curvilineata
Chondria polyrhiza
Chondria pygmaea
Chondrus giganteus
Chondrus giganteus f. flabellatus
Chorda filum
Chorizopora brongniartii
Chromodoris annulata
Chromodoris quadricolor
Chromogobius quadrivittatus
Chromogobius zebratus
Chrysallida fischeri
Chrysallida maiae
Chrysallida micronana
Chrysallida pirinthella
Chrysaora hysoscella
Chrysaora pseudoocellata
Chrysonephos lewisii
Chrysymenia ventricosa
Chrysymenia wrightii
Cinachyrella alloclada
Cingulina isseli
Ciona intestinalis
Ciona robusta
Circenita callipyga
Circulus octoliratus
Cirolana harfordi
Cirrenalia basiminuta
Cirrholovenia tetranema
Cladophora flexuosa
Cladophora herpestica
Cladophora hutchinsiae
Cladophora patentiramea
Cladophora prolifera
Cladophoropsis membranacea
Cladosiphon zosterae
Cladostephus spongiosus
Clarias gariepinus
Clausocalanus arcuicornis
Clavelina dellavallei
Clavelina lepadiformis
Clavelina oblonga
Clavellisa ilishae
Claviceps purpurea
Clementia papyracea
Clorida albolitura
Clymenella torquata
Clypeomorus bifasciatus
Clytia hemisphaerica
Clytia hummelincki
Clytia linearis
Clytia mccradyi
Clytia paulensis
Cocconeis britannica
Cochlodinium polykrikoides
Codium adhaerens
Codium arabicum
Codium fragile
Codium fragile atlanticum
Codium fragile scandinavicum
Codium fragile subsp. fragile
Codium parvulum
Codium pulvinatum
Codium taylorii
Codium vermilara
Colaconema codicola
Colaconema dasyae
Colaconema garbaryi
Coleusia signata
Colpomenia peregrina
Colpomenia sinuosa
Conchoderma auritum
Congeria leucophaeta leucophaeta
Conomurex persicus
Conopeum chesapeakensis
Conopeum reticulum
Conopeum seurati
Conradia eutornisca
Conus arenatus arenatus
Conus fumigatus
Conus rattus
Coolia monotis
Corambe obscura
Corbicula Corbicula fluminea
Corbicula fluminalis
Corbicula fluminea
Cordylophora caspia
Coregonus albula
Coregonus autumnalis
Coregonus lavaretus
Coregonus muksun
Coregonus nasus
Coregonus peled
Corella eumyota
Corethron pennatum
Coriophora lessepsiana
Cornigerius maeoticus
Corollospora lacera
Corophium volutator
Corymbellus aureus
Coryne eximia
Corynomorpha prismatica
Corynophlaea verruculiformis
Coryogalops ochetica
Coryphellina rubrolineata
Coscinasterias tenuispina
Coscinodiscus wailesii
Cossura coasta
Costellipitar chordatus
Cotula coronopifolia
Cotylorhiza erythraea
Cradoscrupocellaria bertholletii
Crambe crambe
Crangon crangon
Crangonyx pseudogracilis
