-0.021779907	203	10	974	-4
7.800965672	1524	256	11901	0
-3.26761591	64	26	1541	4
-3.019835901	27	0	49	4
-3.011326628	3	0	12	4
-3.019853609	6	1	47	4
-3.025504299	7	2	33	4
2.902459921	734	186	10740	4
-3.011184372	3	0	9	4
-4.869781611	5275	376	32347	4
-3.01122822	4	0	4	-4
-1.604099711	104	47	5828	4
-1.796296332	160	40	1345	-4
-3.022050056	17	1	28	4
-3.023767121	0	2	38	4
1.829685224	319	41	1796	4
-3.011326628	3	0	12	-4
-3.042113972	3	5	24	-4
-3.213000259	37	28	377	-4
1.584091411	215	38	5604	4
-1.46307454	29	14	132	4
0.433047715	9157	204	16753	-4
2.78897481	267	34	2925	0
2.012169474	761	8	1223	4
-3.021577987	32	0	56	4
0.146610807	130	1	134	4
-0.816618121	76	2	93	4
3.381123073	1749	163	7156	-4
-3.042534517	22	4	47	4
5.800622103	796	38	3691	-4
1.260633935	67	17	221	-4
-3.025024516	24	1	49	NA
3.058730954	422	11	1904	-4
-0.925514668	137	8	671	-4
2.70731217	571	6	2094	-4
3.915866978	1263	201	8340	-4
-3.039829226	18	3	141	-4
2.580294233	400	6	814	4
-3.012742411	5	0	30	-4
-2.216757029	210	11	1019	-4
-3.102691796	14	10	577	-4
-3.081965195	12	9	290	4
2.174559406	4888	183	37107	0
-2.092085205	160	186	4318	4
-2.355664923	30	33	1654	4
4.475582172	225	5	1270	-4
-1.901903385	6	168	792	-4
-1.924631685	679	325	7362	-4
-3.137141921	72	12	681	-4
-2.052601146	21	4	143	4
-3.016449545	1	1	5	4
