"","i","cs_present","size","phylum"
"1","Gammarus","TRUE","1","Arthropoda"
"2","Gammarus","TRUE","19","Arthropoda"
"3","Aaptos","FALSE","25","Porifera"
"4","Aartsenia","FALSE","5","Mollusca"
"5","Aatolana","FALSE","3","Arthropoda"
"6","Abalistes","FALSE","3","Chordata"
"7","Abarenicola","FALSE","10","Annelida"
"8","Abasia","FALSE","6","Arthropoda"
"9","Abatetia","FALSE","1","Arthropoda"
"10","Abathescalpellum","FALSE","2","Arthropoda"
"11","Abatus","FALSE","10","Echinodermata"
"12","Abavopsis","FALSE","1","Mollusca"
"13","Abderos","FALSE","1","Annelida"
"14","Abdia","FALSE","1","Arthropoda"
"15","Abditacythere","FALSE","1","Arthropoda"
"16","Abditoconus","FALSE","3","Mollusca"
"17","Abditoporella","FALSE","2","Bryozoa"
"18","Abdopus","FALSE","7","Mollusca"
"19","Abelbolla","FALSE","5","Nematoda"
"20","Aberomysis","FALSE","1","Arthropoda"
"21","Aberranta","FALSE","4","Annelida"
"22","Aberrapex","FALSE","7","Platyhelminthes"
"23","Aberratylus","FALSE","1","Arthropoda"
"24","Aberrodomus","FALSE","3","Bryozoa"
"25","Abietinaria","FALSE","35","Cnidaria"
"26","Abietinella","FALSE","1","Cnidaria"
"27","Ablabys","FALSE","3","Chordata"
"28","Ablennes","FALSE","1","Chordata"
"29","Abludomelita","FALSE","15","Arthropoda"
"30","Abnitocrella","FALSE","3","Arthropoda"
"31","Aboma","FALSE","1","Chordata"
"32","Aborjinia","FALSE","1","Nematoda"
"33","Aborolobatea","FALSE","2","Arthropoda"
"34","Abortipedia","FALSE","1","Platyhelminthes"
"35","Abothrium","FALSE","1","Platyhelminthes"
"36","Abra","FALSE","49","Mollusca"
"37","Abralia","FALSE","20","Mollusca"
"38","Abraliopsis","FALSE","11","Mollusca"
"39","Abranchaea","FALSE","1","Mollusca"
"40","Abranda","FALSE","10","Mollusca"
"41","Abrocythereis","FALSE","2","Arthropoda"
"42","Abronica","FALSE","2","Mollusca"
"43","Abroscelis","FALSE","1","Arthropoda"
"44","Abrotanais","FALSE","1","Arthropoda"
"45","Abrsia","FALSE","1","Arthropoda"
"46","Abscondicola","FALSE","1","Arthropoda"
"47","Absonifibula","FALSE","2","Platyhelminthes"
"48","Abudefduf","TRUE","20","Chordata"
"49","Abyla","FALSE","3","Cnidaria"
"50","Abylopsis","FALSE","2","Cnidaria"
"51","Abyssaranea","FALSE","1","Arthropoda"
"52","Abyssarcturella","FALSE","2","Arthropoda"
"53","Abyssarcturus","FALSE","1","Arthropoda"
"54","Abyssarya","FALSE","1","Annelida"
"55","Abyssascidia","FALSE","3","Chordata"
"56","Abyssaster","FALSE","3","Echinodermata"
"57","Abyssianira","FALSE","6","Arthropoda"
"58","Abyssicaprella","FALSE","1","Arthropoda"
"59","Abyssidrilus","FALSE","9","Annelida"
"60","Abyssoaclis","FALSE","1","Mollusca"
"61","Abyssoanthus","FALSE","2","Cnidaria"
"62","Abyssobela","FALSE","1","Mollusca"
"63","Abyssoberyx","FALSE","1","Chordata"
"64","Abyssobrotula","FALSE","1","Chordata"
"65","Abyssobythere","FALSE","1","Arthropoda"
"66","Abyssocapitella","FALSE","1","Annelida"
"67","Abyssochrysos","FALSE","6","Mollusca"
"68","Abyssocladia","FALSE","31","Porifera"
"69","Abyssoclymene","FALSE","1","Annelida"
"70","Abyssocomitas","FALSE","1","Mollusca"
"71","Abyssocucumis","FALSE","2","Echinodermata"
"72","Abyssocypris","FALSE","2","Arthropoda"
"73","Abyssocythere","FALSE","8","Arthropoda"
"74","Abyssocythereis","FALSE","2","Arthropoda"
"75","Abyssododecas","FALSE","1","Arthropoda"
"76","Abyssoecia","FALSE","1","Bryozoa"
"77","Abyssogena","FALSE","5","Mollusca"
"78","Abyssoherpia","FALSE","1","Mollusca"
"79","Abyssoleucon","FALSE","1","Arthropoda"
"80","Abyssonemertes","FALSE","1","Nemertea"
"81","Abyssoninoe","FALSE","8","Annelida"
"82","Abyssoniscus","FALSE","1","Arthropoda"
"83","Abyssopathes","FALSE","3","Cnidaria"
"84","Abyssopedunculus","FALSE","1","Platyhelminthes"
"85","Abyssophilos","FALSE","1","Arthropoda"
"86","Abyssopontius","FALSE","1","Arthropoda"
"87","Abyssoprimnoa","FALSE","1","Cnidaria"
"88","Abyssorchomene","TRUE","9","Arthropoda"
"89","Abyssorhynchia","FALSE","1","Brachiopoda"
"90","Abyssotaurus","FALSE","1","Arthropoda"
"91","Abyssothauma","FALSE","1","Mollusca"
"92","Abyssotheres","FALSE","2","Arthropoda"
"93","Abyssothyris","FALSE","1","Brachiopoda"
"94","Abyssotrophon","FALSE","17","Mollusca"
"95","Abyssura","FALSE","1","Echinodermata"
"96","Acaenodera","FALSE","3","Platyhelminthes"
"97","Acaenomolgus","FALSE","3","Arthropoda"
"98","Acaenosquilla","FALSE","2","Arthropoda"
"99","Acallocheirus","FALSE","1","Arthropoda"
"100","Acamptodaphne","FALSE","3","Mollusca"
"101","Acanella","FALSE","13","Cnidaria"
"102","Acanthacaris","FALSE","2","Arthropoda"
"103","Acanthacis","FALSE","2","Cnidaria"
"104","Acanthais","FALSE","3","Mollusca"
"105","Acanthaluteres","FALSE","3","Chordata"
"106","Acanthamunnopsis","FALSE","4","Arthropoda"
"107","Acanthanas","FALSE","1","Arthropoda"
"108","Acanthancora","FALSE","5","Porifera"
"109","Acanthanectes","FALSE","2","Chordata"
"110","Acanthaphritis","FALSE","4","Chordata"
"111","Acanthapseudes","FALSE","2","Arthropoda"
"112","Acantharcturus","FALSE","3","Arthropoda"
"113","Acantharctus","FALSE","3","Arthropoda"
"114","Acanthascus","FALSE","8","Porifera"
"115","Acanthaster","TRUE","2","Echinodermata"
"116","Acanthastrea","FALSE","7","Cnidaria"
"117","Acanthaxius","FALSE","15","Arthropoda"
"118","Acanthella","FALSE","32","Porifera"
"119","Acanthemblemaria","TRUE","21","Chordata"
"120","Acanthephyra","FALSE","27","Arthropoda"
"121","Acantheurypon","FALSE","2","Porifera"
"122","Acanthicolepis","FALSE","2","Annelida"
"123","Acanthiella","FALSE","1","Platyhelminthes"
"124","Acanthilia","FALSE","1","Arthropoda"
"125","Acanthina","FALSE","2","Mollusca"
"126","Acanthinucella","FALSE","3","Mollusca"
"127","Acanthistius","FALSE","11","Chordata"
"128","Acanthoaxis","FALSE","1","Cnidaria"
"129","Acanthobasiliola","FALSE","1","Brachiopoda"
"130","Acanthobdella","FALSE","2","Annelida"
"131","Acanthobonellia","FALSE","3","Annelida"
"132","Acanthobothrium","FALSE","201","Platyhelminthes"
"133","Acanthobothroides","FALSE","2","Platyhelminthes"
"134","Acanthocanthopsis","FALSE","2","Arthropoda"
"135","Acanthocardia","FALSE","6","Mollusca"
"136","Acanthocarpus","FALSE","5","Arthropoda"
"137","Acanthocephaloides","FALSE","12","Acanthocephala"
"138","Acanthocephalus","FALSE","9","Acanthocephala"
"139","Acanthocepola","FALSE","4","Chordata"
"140","Acanthocercodes","FALSE","4","Platyhelminthes"
"141","Acanthochaenus","FALSE","1","Chordata"
"142","Acanthochaetetes","FALSE","3","Porifera"
"143","Acanthocheilonema","FALSE","2","Nematoda"
"144","Acanthocheilus","FALSE","1","Nematoda"
"145","Acanthochitona","FALSE","80","Mollusca"
"146","Acanthochondria","FALSE","52","Arthropoda"
"147","Acanthochondrites","FALSE","1","Arthropoda"
"148","Acanthochromis","TRUE","1","Chordata"
"149","Acanthocidaris","FALSE","3","Echinodermata"
"150","Acanthoclada","FALSE","1","Porifera"
"151","Acanthoclinus","FALSE","5","Chordata"
"152","Acanthocolax","FALSE","4","Arthropoda"
"153","Acanthocollaritrema","FALSE","1","Platyhelminthes"
"154","Acanthocolpus","FALSE","15","Platyhelminthes"
"155","Acanthocope","FALSE","18","Arthropoda"
"156","Acanthocotyle","FALSE","12","Platyhelminthes"
"157","Acanthocybium","FALSE","1","Chordata"
"158","Acanthocyclus","FALSE","3","Arthropoda"
"159","Acanthocythereis","FALSE","7","Arthropoda"
"160","Acanthodaphne","FALSE","5","Mollusca"
"161","Acanthodasys","FALSE","12","Gastrotricha"
"162","Acanthodendrilla","FALSE","2","Porifera"
"163","Acanthodesiomorpha","FALSE","1","Bryozoa"
"164","Acanthodoris","FALSE","15","Mollusca"
"165","Acanthodraco","FALSE","1","Chordata"
"166","Acanthodromia","FALSE","2","Arthropoda"
"167","Acanthogalea","FALSE","2","Platyhelminthes"
"168","Acanthogobius","FALSE","5","Chordata"
"169","Acanthogorgia","FALSE","58","Cnidaria"
"170","Acanthogyrus","FALSE","7","Acanthocephala"
"171","Acanthohalacarus","FALSE","1","Arthropoda"
"172","Acanthohamingia","FALSE","2","Annelida"
"173","Acanthohaustorius","FALSE","8","Arthropoda"
"174","Acanthoisis","FALSE","5","Cnidaria"
"175","Acantholabrus","FALSE","1","Chordata"
"176","Acantholaimus","FALSE","38","Nematoda"
"177","Acantholiparis","FALSE","2","Chordata"
"178","Acantholithodes","FALSE","1","Arthropoda"
"179","Acantholobulus","FALSE","4","Arthropoda"
"180","Acantholochus","FALSE","10","Arthropoda"
"181","Acantholumpenus","FALSE","1","Chordata"
"182","Acanthomacrostomum","FALSE","2","Platyhelminthes"
"183","Acanthomenia","FALSE","2","Mollusca"
"184","Acanthomicrolaimus","FALSE","1","Nematoda"
"185","Acanthomolgus","FALSE","40","Arthropoda"
"186","Acanthomunna","FALSE","10","Arthropoda"
"187","Acanthomuricea","FALSE","7","Cnidaria"
"188","Acanthomysis","FALSE","17","Arthropoda"
"189","Acanthonchus","FALSE","9","Nematoda"
"190","Acanthonotozoma","FALSE","10","Arthropoda"
"191","Acanthonotozomella","FALSE","4","Arthropoda"
"192","Acanthonotozomoides","FALSE","2","Arthropoda"
"193","Acanthonotozomopsis","FALSE","2","Arthropoda"
"194","Acanthonus","FALSE","1","Chordata"
"195","Acanthonyx","FALSE","17","Arthropoda"
"196","Acanthopagrus","FALSE","19","Chordata"
"197","Acanthopagurus","FALSE","1","Arthropoda"
"198","Acanthopale","FALSE","1","Annelida"
"199","Acanthoparyphium","FALSE","2","Platyhelminthes"
"200","Acanthopathes","FALSE","5","Cnidaria"
"201","Acanthopharyngoides","FALSE","6","Nematoda"
"202","Acanthopharynx","FALSE","12","Nematoda"
"203","Acanthophragma","FALSE","1","Bryozoa"
"204","Acanthophrys","FALSE","4","Arthropoda"
"205","Acanthophyllia","FALSE","1","Cnidaria"
"206","Acanthoplacatus","FALSE","7","Platyhelminthes"
"207","Acanthoplesiops","FALSE","6","Chordata"
"208","Acanthopleura","FALSE","8","Mollusca"
"209","Acanthopolymastia","FALSE","3","Porifera"
"210","Acanthopriapulus","FALSE","1","Priapulida"
"211","Acanthoprimnoa","FALSE","5","Cnidaria"
"212","Acanthopsetta","FALSE","1","Chordata"
"213","Acanthopseudomonocelis","FALSE","1","Platyhelminthes"
"214","Acanthopsole","FALSE","1","Mollusca"
"215","Acanthoptilum","FALSE","8","Cnidaria"
"216","Acanthorhabdus","FALSE","1","Porifera"
"217","Acanthosaropathes","FALSE","1","Cnidaria"
"218","Acanthoscina","FALSE","2","Arthropoda"
"219","Acanthoserolis","FALSE","2","Arthropoda"
"220","Acanthosiphodera","FALSE","1","Platyhelminthes"
"221","Acanthosphex","FALSE","1","Chordata"
"222","Acanthosquilla","FALSE","8","Arthropoda"
"223","Acanthostepheia","FALSE","3","Arthropoda"
"224","Acanthostomum","FALSE","11","Platyhelminthes"
"225","Acanthostracion","FALSE","4","Chordata"
"226","Acanthostrongylophora","FALSE","2","Porifera"
"227","Acanthostylotella","FALSE","1","Porifera"
"228","Acanthotetilla","FALSE","7","Porifera"
"229","Acanthotrema","FALSE","7","Platyhelminthes"
"230","Acanthotriaena","FALSE","1","Porifera"
"231","Acanthotrochus","FALSE","3","Echinodermata"
"232","Acanthotrophon","FALSE","5","Mollusca"
"233","Acanthozoon","FALSE","1","Platyhelminthes"
"234","Acanthuritrema","FALSE","2","Platyhelminthes"
"235","Acanthurus","FALSE","40","Chordata"
"236","Acantorna","FALSE","1","Porifera"
"237","Acar","TRUE","24","Mollusca"
"238","Acarnus","FALSE","26","Porifera"
"239","Acarobythites","FALSE","1","Chordata"
"240","Acaroceras","FALSE","1","Arthropoda"
"241","Acarochelopodia","FALSE","9","Arthropoda"
"242","Acaromantis","FALSE","11","Arthropoda"
"243","Acarothrix","FALSE","2","Arthropoda"
"244","Acartia","TRUE","64","Arthropoda"
"245","Acartiella","FALSE","11","Arthropoda"
"246","Acartomyia","FALSE","3","Arthropoda"
"247","Acasta","FALSE","52","Arthropoda"
"248","Acaudina","FALSE","8","Echinodermata"
"249","Acaulis","FALSE","2","Cnidaria"
"250","Acauloides","FALSE","2","Cnidaria"
"251","Accacladium","FALSE","2","Platyhelminthes"
"252","Accacladocoelium","FALSE","4","Platyhelminthes"
"253","Accacoelium","FALSE","1","Platyhelminthes"
"254","Accalathura","FALSE","30","Arthropoda"
"255","Accedomoera","FALSE","2","Arthropoda"
"256","Acentrogobius","FALSE","19","Chordata"
"257","Acentronura","FALSE","3","Chordata"
"258","Acentrophryne","FALSE","2","Chordata"
"259","Aceroides","FALSE","8","Arthropoda"
"260","Acerotisa","FALSE","5","Platyhelminthes"
"261","Acespadia","FALSE","1","Arthropoda"
"262","Acesta","FALSE","28","Mollusca"
"263","Aceste","FALSE","3","Echinodermata"
"264","Acestoplana","FALSE","1","Platyhelminthes"
"265","Acetabulastoma","FALSE","12","Arthropoda"
"266","Acetes","FALSE","14","Arthropoda"
"267","Achaeopsis","FALSE","1","Arthropoda"
"268","Achaeta","FALSE","1","Annelida"
"269","Achaetobonellia","FALSE","2","Annelida"
"270","Achaeus","FALSE","38","Arthropoda"
"271","Acharax","FALSE","9","Mollusca"
"272","Achasmea","FALSE","1","Mollusca"
"273","Achatina","FALSE","1","Mollusca"
"274","Achelia","TRUE","71","Arthropoda"
"275","Acheliana","FALSE","1","Arthropoda"
"276","Achelidelphys","FALSE","8","Arthropoda"
"277","Acheliderma","FALSE","5","Porifera"
"278","Achelion","FALSE","1","Arthropoda"
"279","Achelous","FALSE","18","Arthropoda"
"280","Acheronaster","FALSE","1","Echinodermata"
"281","Acheronia","FALSE","1","Arthropoda"
"282","Achipterina","FALSE","1","Arthropoda"
"283","Achiridota","FALSE","3","Echinodermata"
"284","Achiroides","FALSE","2","Chordata"
"285","Achiropsetta","FALSE","1","Chordata"
"286","Achirus","FALSE","8","Chordata"
"287","Achlyonice","FALSE","7","Echinodermata"
"288","Achoerodus","FALSE","2","Chordata"
"289","Achoerus","FALSE","3","Xenacoelomorpha"
"290","Acholoe","FALSE","1","Annelida"
"291","Achoronemertes","FALSE","1","Nemertea"
"292","Achramorpha","FALSE","7","Porifera"
"293","Achromadora","FALSE","3","Nematoda"
"294","Achtheinus","FALSE","3","Arthropoda"
"295","Aciconula","FALSE","5","Arthropoda"
"296","Aciculites","FALSE","12","Porifera"
"297","Aciculomarphysa","FALSE","1","Annelida"
"298","Acidops","FALSE","2","Arthropoda"
"299","Acidostoma","FALSE","10","Arthropoda"
"300","Acila","FALSE","9","Mollusca"
"301","Acinodrillia","FALSE","3","Mollusca"
"302","Acinoproskelos","FALSE","1","Arthropoda"
"303","Acipenser","FALSE","13","Chordata"
"304","Acipensericola","FALSE","1","Platyhelminthes"
"305","Acirrostylus","FALSE","1","Platyhelminthes"
"306","Acirsa","FALSE","15","Mollusca"
"307","Acleotrema","FALSE","12","Platyhelminthes"
"308","Acliceratia","FALSE","2","Mollusca"
"309","Aclis","FALSE","45","Mollusca"
"310","Aclistothyra","FALSE","1","Mollusca"
"311","Aclophora","FALSE","12","Mollusca"
"312","Aclophoropsis","FALSE","4","Mollusca"
"313","Aclymene","FALSE","1","Annelida"
"314","Aclyvolva","FALSE","4","Mollusca"
"315","Acmaea","FALSE","3","Mollusca"
"316","Acmaeopleura","FALSE","2","Arthropoda"
"317","Acmaturris","FALSE","3","Mollusca"
"318","Acmostomum","FALSE","4","Platyhelminthes"
"319","Acodontaster","FALSE","5","Echinodermata"
"320","Acoelocalyx","FALSE","1","Porifera"
"321","Acoetes","FALSE","13","Annelida"
"322","Acoleus","FALSE","3","Platyhelminthes"
"323","Acontiactis","FALSE","1","Cnidaria"
"324","Acontiaster","FALSE","1","Echinodermata"
"325","Acontiophorum","FALSE","3","Cnidaria"
"326","Acontiophorus","FALSE","12","Arthropoda"
"327","Acontiostoma","FALSE","2","Arthropoda"
"328","Acorania","FALSE","1","Bryozoa"
"329","Acoridon","FALSE","1","Arthropoda"
"330","Acorylus","FALSE","3","Mollusca"
"331","Acosta","FALSE","1","Arthropoda"
"332","Acreichthys","FALSE","3","Chordata"
"333","Acremodonta","FALSE","1","Mollusca"
"334","Acremodontina","FALSE","10","Mollusca"
"335","Acrenhydrosoma","FALSE","1","Arthropoda"
"336","Acricoactis","FALSE","1","Cnidaria"
"337","Acrilla","FALSE","2","Mollusca"
"338","Acrilloscala","FALSE","2","Mollusca"
"339","Acritagasyllis","FALSE","1","Annelida"
"340","Acrobelesia","FALSE","1","Brachiopoda"
"341","Acrobelione","FALSE","4","Arthropoda"
"342","Acrobrochus","FALSE","3","Brachiopoda"
"343","Acrocalanus","FALSE","5","Arthropoda"
"344","Acrochalix","FALSE","1","Mollusca"
"345","Acrochordus","FALSE","3","Chordata"
"346","Acrocirrus","FALSE","13","Annelida"
"347","Acrocnida","FALSE","3","Echinodermata"
"348","Acromegalomma","FALSE","36","Annelida"
"349","Acromitoides","FALSE","2","Cnidaria"
"350","Acromitus","FALSE","5","Cnidaria"
"351","Acromycter","FALSE","5","Chordata"
"352","Acroperus","FALSE","1","Arthropoda"
"353","Acrophytum","FALSE","1","Cnidaria"
"354","Acropoma","FALSE","6","Chordata"
"355","Acropora","TRUE","135","Cnidaria"
"356","Acrorhynchides","FALSE","4","Platyhelminthes"
"357","Acrorhynchus","FALSE","1","Platyhelminthes"
"358","Acrossota","FALSE","1","Cnidaria"
"359","Acrosterigma","FALSE","31","Mollusca"
"360","Acroteriobatus","FALSE","8","Chordata"
"361","Acrozoanthus","FALSE","1","Cnidaria"
"362","Acrumena","FALSE","1","Platyhelminthes"
"363","Acryptolaria","FALSE","39","Cnidaria"
"364","Actacarus","FALSE","24","Arthropoda"
"365","Actaea","FALSE","31","Arthropoda"
"366","Actaeodes","FALSE","6","Arthropoda"
"367","Actaeomorpha","FALSE","3","Arthropoda"
"368","Actaletes","FALSE","2","Arthropoda"
"369","Actarjania","FALSE","1","Nematoda"
"370","Actenos","FALSE","3","Arthropoda"
"371","Acteocina","FALSE","54","Mollusca"
"372","Acteon","FALSE","68","Mollusca"
"373","Acthelmis","FALSE","1","Cnidaria"
"374","Acticola","FALSE","1","Arthropoda"
"375","Actinacanthus","FALSE","1","Arthropoda"
"376","Actinarctus","FALSE","4","Tardigrada"
"377","Actinauge","FALSE","8","Cnidaria"
"378","Actinecta","FALSE","7","Cnidaria"
"379","Actineria","FALSE","2","Cnidaria"
"380","Actinernus","FALSE","4","Cnidaria"
"381","Actinia","TRUE","61","Cnidaria"
"382","Actinimenes","FALSE","3","Arthropoda"
"383","Actinobalanus","FALSE","3","Arthropoda"
"384","Actinocleidus","FALSE","1","Platyhelminthes"
"385","Actinocletodes","FALSE","1","Arthropoda"
"386","Actinocucumis","FALSE","8","Echinodermata"
"387","Actinocyclus","FALSE","2","Mollusca"
"388","Actinocythereis","FALSE","22","Arthropoda"
"389","Actinodactylus","FALSE","2","Cnidaria"
"390","Actinodendron","FALSE","5","Cnidaria"
"391","Actinoleuca","FALSE","2","Mollusca"
"392","Actinonema","FALSE","8","Nematoda"
"393","Actinopora","FALSE","2","Bryozoa"
"394","Actinoporus","FALSE","2","Cnidaria"
"395","Actinoposthia","FALSE","5","Xenacoelomorpha"
"396","Actinopsis","FALSE","1","Cnidaria"
"397","Actinoptilum","FALSE","1","Cnidaria"
"398","Actinopyga","FALSE","18","Echinodermata"
"399","Actinoscyphia","FALSE","5","Cnidaria"
"400","Actinoseta","FALSE","4","Arthropoda"
"401","Actinostella","FALSE","10","Cnidaria"
"402","Actinostephanus","FALSE","1","Cnidaria"
"403","Actinostola","FALSE","11","Cnidaria"
"404","Actinothoe","FALSE","23","Cnidaria"
"405","Actinotrophon","FALSE","3","Mollusca"
"406","Actinozonella","FALSE","1","Echinodermata"
"407","Actiomera","FALSE","3","Arthropoda"
"408","Actisecos","FALSE","3","Bryozoa"
"409","Actitis","FALSE","2","Chordata"
"410","Actocharis","FALSE","2","Arthropoda"
"411","Actogidiella","FALSE","1","Arthropoda"
"412","Actopsyllus","FALSE","2","Arthropoda"
"413","Actornithophilus","FALSE","10","Arthropoda"
"414","Actumnus","FALSE","29","Arthropoda"
"415","Aculeola","FALSE","1","Chordata"
"416","Aculeopsis","FALSE","1","Arthropoda"
"417","Aculeorhynchus","FALSE","1","Platyhelminthes"
"418","Acuminocythere","FALSE","1","Arthropoda"
"419","Acuminodeutopus","FALSE","2","Arthropoda"
"420","Acuticoxa","FALSE","2","Arthropoda"
"421","Acutigebia","FALSE","6","Arthropoda"
"422","Acutihumerus","FALSE","3","Arthropoda"
"423","Acutiserolis","FALSE","7","Arthropoda"
"424","Acutocoxae","FALSE","2","Arthropoda"
"425","Acutomunna","FALSE","2","Arthropoda"
"426","Acyrtops","FALSE","2","Chordata"
"427","Acyrtus","FALSE","4","Chordata"
"428","Adacna","FALSE","1","Mollusca"
"429","Adacnarca","FALSE","10","Mollusca"
"430","Adagnesia","FALSE","12","Chordata"
"431","Adajinoperus","FALSE","1","Arthropoda"
"432","Adalaria","FALSE","7","Mollusca"
"433","Adamnestia","FALSE","1","Mollusca"
"434","Adamsia","FALSE","6","Cnidaria"
"435","Adamussium","FALSE","1","Mollusca"
"436","Addisonia","FALSE","3","Mollusca"
"437","Adelacerithium","FALSE","1","Mollusca"
"438","Adelascopora","FALSE","2","Bryozoa"
"439","Adelasterias","FALSE","1","Echinodermata"
"440","Adelatelecrinus","FALSE","2","Echinodermata"
"441","Adelieledone","FALSE","3","Mollusca"
"442","Adeliella","FALSE","3","Arthropoda"
"443","Adelobothrium","FALSE","1","Platyhelminthes"
"444","Adelodrilus","FALSE","14","Annelida"
"445","Adelogorgia","FALSE","5","Cnidaria"
"446","Adelomelon","FALSE","6","Mollusca"
"447","Adelometra","FALSE","1","Echinodermata"
"448","Adelomyllos","FALSE","1","Platyhelminthes"
"449","Adelopora","FALSE","8","Cnidaria"
"450","Adelosebastes","FALSE","1","Chordata"
"451","Adelotremus","FALSE","2","Chordata"
"452","Adelphos","FALSE","1","Nematoda"
"453","Adelphotectonica","FALSE","4","Mollusca"
"454","Adelta","FALSE","1","Arthropoda"
"455","Adenaplostoma","FALSE","1","Arthropoda"
"456","Adenicola","FALSE","1","Platyhelminthes"
"457","Adenifera","FALSE","1","Bryozoa"
"458","Adenocauda","FALSE","1","Xenacoelomorpha"
"459","Adenocephalus","FALSE","1","Platyhelminthes"
"460","Adenodelphis","FALSE","1","Nematoda"
"461","Adenodidymocystis","FALSE","1","Platyhelminthes"
"462","Adenogaster","FALSE","3","Platyhelminthes"
"463","Adenopea","FALSE","4","Xenacoelomorpha"
"464","Adenopharynx","FALSE","1","Platyhelminthes"
"465","Adenopilina","FALSE","1","Mollusca"
"466","Adenopleurella","FALSE","1","Arthropoda"
"467","Adenorhagas","FALSE","1","Nemertea"
"468","Adenorhynchus","FALSE","1","Platyhelminthes"
"469","Adeona","FALSE","13","Bryozoa"
"470","Adeonella","FALSE","48","Bryozoa"
"471","Adeonellopsis","FALSE","25","Bryozoa"
"472","Adeorbis","FALSE","1","Mollusca"
"473","Adercodon","FALSE","1","Annelida"
"474","Adeuomphalus","FALSE","12","Mollusca"
"475","Adfacelina","FALSE","1","Mollusca"
"476","Adinassa","FALSE","3","Mollusca"
"477","Adinia","FALSE","1","Chordata"
"478","Adinosoma","FALSE","3","Platyhelminthes"
"479","Adipicola","FALSE","9","Mollusca"
"480","Adlardia","FALSE","2","Platyhelminthes"
"481","Admete","FALSE","23","Mollusca"
"482","Admetella","FALSE","3","Annelida"
"483","Admetula","FALSE","19","Mollusca"
"484","Admirandus","FALSE","4","Nematoda"
"485","Adna","FALSE","1","Arthropoda"
"486","Adoncholaimus","FALSE","22","Nematoda"
"487","Adontorhina","FALSE","8","Mollusca"
"488","Adorus","FALSE","2","Nematoda"
"489","Adoryherpia","FALSE","2","Mollusca"
"490","Adota","FALSE","6","Arthropoda"
"491","Adrana","FALSE","10","Mollusca"
"492","Adranella","FALSE","2","Mollusca"
"493","Adreus","FALSE","5","Porifera"
"494","Adula","FALSE","7","Mollusca"
"495","Advenogonium","FALSE","1","Arthropoda"
"496","Adventor","FALSE","1","Chordata"
"497","Adyte","FALSE","1","Annelida"
"498","Aechmalotus","FALSE","1","Xenacoelomorpha"
"499","Aechmophorus","FALSE","2","Chordata"
"500","Aedes","FALSE","1","Arthropoda"
"501","Aedicira","FALSE","5","Annelida"
"502","Aedoplophora","FALSE","1","Arthropoda"
"503","Aega","FALSE","35","Arthropoda"
"504","Aegaeon","FALSE","5","Arthropoda"
"505","Aegapheles","FALSE","17","Arthropoda"
"506","Aegathoa","FALSE","2","Arthropoda"
"507","Aegeofusinus","FALSE","6","Mollusca"
"508","Aegialites","FALSE","4","Arthropoda"
"509","Aegialoalaimus","FALSE","4","Nematoda"
"510","Aegialonemertes","FALSE","1","Nemertea"
"511","Aegina","FALSE","2","Cnidaria"
"512","Aeginella","FALSE","2","Arthropoda"
"513","Aeginellopsis","FALSE","1","Arthropoda"
"514","Aeginina","FALSE","2","Arthropoda"
"515","Aeginoides","FALSE","1","Arthropoda"
"516","Aeginona","FALSE","1","Cnidaria"
"517","Aeginopsis","FALSE","1","Cnidaria"
"518","Aeginura","FALSE","2","Cnidaria"
"519","Aegiochus","FALSE","39","Arthropoda"
"520","Aegira","FALSE","1","Platyhelminthes"
"521","Aegires","FALSE","26","Mollusca"
"522","Aegisthus","FALSE","3","Arthropoda"
"523","Aegoniscus","FALSE","1","Arthropoda"
"524","Aegophila","FALSE","1","Arthropoda"
"525","Aeneator","FALSE","14","Mollusca"
"526","Aenictomya","FALSE","2","Mollusca"
"527","Aenigmabonus","FALSE","1","Mollusca"
"528","Aenigmanemertes","FALSE","1","Nemertea"
"529","Aenigmanthus","FALSE","1","Cnidaria"
"530","Aenigmathura","FALSE","4","Arthropoda"
"531","Aenigmocythere","FALSE","1","Arthropoda"
"532","Aenigmotellina","FALSE","2","Mollusca"
"533","Aenigmula","FALSE","1","Mollusca"
"534","Aenone","FALSE","1","Annelida"
"535","Aeolidia","FALSE","6","Mollusca"
"536","Aeolidiella","FALSE","6","Mollusca"
"537","Aeoliscus","FALSE","2","Chordata"
"538","Aeolosoma","FALSE","1","Annelida"
"539","Aephnidiogenes","FALSE","3","Platyhelminthes"
"540","Aepinus","FALSE","1","Arthropoda"
"541","Aepophilus","FALSE","1","Arthropoda"
"542","Aepopsis","FALSE","1","Arthropoda"
"543","Aepus","FALSE","2","Arthropoda"
"544","Aequalodontium","FALSE","1","Nematoda"
"545","Aequilumina","FALSE","1","Bryozoa"
"546","Aequinoctiella","FALSE","2","Arthropoda"
"547","Aequipecten","FALSE","9","Mollusca"
"548","Aequispirella","FALSE","3","Mollusca"
"549","Aequiyoldia","FALSE","1","Mollusca"
"550","Aequorea","TRUE","24","Cnidaria"
"551","Aerobiotrema","FALSE","2","Platyhelminthes"
"552","Aeroppia","FALSE","1","Arthropoda"
"553","Aeropsis","FALSE","2","Echinodermata"
"554","Aerothyris","FALSE","2","Brachiopoda"
"555","Aesopia","FALSE","1","Chordata"
"556","Aesopus","FALSE","31","Mollusca"
"557","Aestabdella","FALSE","3","Annelida"
