"","Species","Phylum","Class"
"11925","Clathrina coriacea","Porifera","Calcarea"
"11926","Halisarca dujardinii","Porifera","Demospongiae"
"11927","Thetys","Chordata","Thaliacea"
"11928","Fossarus ambiguus","Mollusca","Gastropoda"
"11929","Gyratrix hermaphroditus","Platyhelminthes",NA
"11930","Monodactylidae","Chordata","Teleostei"
"11931","Phyllospongia","Porifera","Demospongiae"
"11932","Amorphinopsis foetida","Porifera","Demospongiae"
"11933","Isodictya ectofibrosa","Porifera","Demospongiae"
"11934","Ancorina corticata","Porifera","Demospongiae"
"11935","Stelletta jonesi","Porifera","Demospongiae"
"11936","Pachastrella caliculata","Porifera","Demospongiae"
