"","Species","Phylum","Class"
"2037","Cryosignum","Arthropoda","Malacostraca"
"2038","Symplectoscyphus frondosus","Cnidaria","Hydrozoa"
"2039","Muusoctopus","Mollusca","Cephalopoda"
"2040","Stolidobranchia","Chordata","Ascidiacea"
"2041","Diastylidae","Arthropoda","Malacostraca"
"2042","Eucopia australis","Arthropoda","Malacostraca"
"2043","Haliclona tenella","Porifera","Demospongiae"
"2044","Myxilla (Myxilla) australis","Porifera","Demospongiae"
"2045","Valdemunitella lata","Bryozoa","Gymnolaemata"
"2046","Dicarpa insinuosa","Chordata","Ascidiacea"
"2047","Smittina anecdota","Bryozoa","Gymnolaemata"
"2048","Symplectoscyphus plectilis","Cnidaria","Hydrozoa"
"2049","Artemisina tubulosa","Porifera","Demospongiae"
"2050","Prosipho pusillus","Mollusca","Gastropoda"
"2051","Clathria (Axosuberites) flabellata","Porifera","Demospongiae"
"2052","Bathydraco antarcticus","Chordata","Teleostei"
"2053","Ophiuroglypha ambigua","Echinodermata","Ophiuroidea"
"2054","Ampelisca anversensis","Arthropoda","Malacostraca"
"2055","Membranipora","Bryozoa","Gymnolaemata"
"2056","Alloeocarpa incrustans","Chordata","Ascidiacea"
"2057","Austrolaenilla hastulifera","Annelida","Polychaeta"
"2058","Krithe (Austrokrithe) magna","Arthropoda","Ostracoda"
"2059","Ophelina gymnopyge","Annelida","Polychaeta"
"2060","Iphimedia","Arthropoda","Malacostraca"
"2061","Distaplia","Chordata","Ascidiacea"
"2062","Nannastacidae","Arthropoda","Malacostraca"
"2063","Zygothuria lactea","Echinodermata","Holothuroidea"
"2064","Fibulia maeandrina","Porifera","Demospongiae"
"2065","Austrodecus crenatum","Arthropoda","Pycnogonida"
"2066","Pyriporoides uniserialis","Bryozoa","Gymnolaemata"
"2067","Astropecten brasiliensis","Echinodermata","Asteroidea"
"2068","Trachythyone","Echinodermata","Holothuroidea"
"2069","Harpacticus furcifer","Arthropoda","Copepoda"
"2070","Phyllodoce monroi","Annelida","Polychaeta"
"2071","Mimocalanus","Arthropoda","Copepoda"
"2072","Lampropidae","Arthropoda","Malacostraca"
"2073","Eudendrium","Cnidaria","Hydrozoa"
"2074","Hyphalaster","Echinodermata","Asteroidea"
"2075","Laetmogone","Echinodermata","Holothuroidea"
"2076","Colossendeis wilsoni","Arthropoda","Pycnogonida"
"2077","Lysilla macintoshi","Annelida","Polychaeta"
"2078","Sinuber sculptum","Mollusca","Gastropoda"
"2079","Lepechinella drygalskii","Arthropoda","Malacostraca"
"2080","Tisbe gracilipes","Arthropoda","Copepoda"
"2081","Polynoe","Annelida","Polychaeta"
"2082","Suberites microstomus","Porifera","Demospongiae"
"2083","Dodecolopoda mawsoni","Arthropoda","Pycnogonida"
"2084","Paraceradocus miersi","Arthropoda","Malacostraca"
"2085","Epimeria (Urepimeria) annabellae","Arthropoda","Malacostraca"
"2086","Asellota","Arthropoda","Malacostraca"
"2087","Scaphocalanus magnus","Arthropoda","Copepoda"
"2088","Ischnomesidae","Arthropoda","Malacostraca"
"2089","Aglaophamus macroura","Annelida","Polychaeta"
"2090","Campylaspis frigida","Arthropoda","Malacostraca"
"2091","Bathyarca sinuata","Mollusca","Bivalvia"
"2092","Hemiaclis incolorata","Mollusca","Gastropoda"
"2093","Pseudomma armatum","Arthropoda","Malacostraca"
"2094","Epigamia charcoti","Annelida","Polychaeta"
"2095","Paralomis birsteini","Arthropoda","Malacostraca"
"2096","Praxillella kerguelensis","Annelida","Polychaeta"
"2097","Molpadia violacea","Echinodermata","Holothuroidea"
"2098","Epimeriidae","Arthropoda","Malacostraca"
